junction_id,hour,avg_speed_kmh,speed_std_dev,vehicle_count,pedestrian_count,signal_phase,cctv_quality,pothole_detected,wrong_way_driving,near_miss_event
JN-0095,0,31.2,7.33,132,48,Red,SD,0,0,0
JN-0109,0,10.8,18.96,33,1,Red,HD,0,0,0
JN-0235,0,12.0,14.45,43,1,Red,Blurry,0,0,0
JN-0450,0,36.2,9.82,88,20,Red,HD,1,0,0
JN-0041,0,49.0,8.13,90,5,Red,HD,0,0,0
JN-0268,0,63.2,1.24,46,28,Green,HD,0,0,0
JN-0287,0,31.1,17.51,59,21,Red,SD,0,0,0
JN-0285,0,37.1,6.45,21,17,Green,HD,1,0,0
JN-0092,0,48.1,15.75,79,26,Green,HD,0,0,0
JN-0208,0,12.2,12.18,53,48,Green,HD,0,0,0
JN-0020,0,65.1,13.16,88,36,Off,SD,0,0,0
JN-0411,0,41.7,11.49,47,49,Yellow,HD,0,0,0
JN-0049,0,19.2,16.79,47,20,Green,HD,0,0,0
JN-0448,0,56.5,11.6,70,10,Red,HD,1,0,0
JN-0041,0,42.0,9.45,61,43,Green,SD,1,0,0
JN-0332,0,38.5,20.42,71,50,Green,SD,0,0,0
JN-0164,0,7.4,2.3,87,12,Green,SD,1,0,0
JN-0131,0,24.5,8.02,74,46,Yellow,SD,0,0,0
JN-0158,0,42.1,21.43,38,36,Red,HD,1,0,1
JN-0246,0,19.0,13.31,178,47,Red,Blurry,0,0,0
JN-0324,0,18.3,3.33,11,46,Green,Offline,0,0,0
JN-0064,0,37.0,7.02,118,4,Yellow,SD,0,0,0
JN-0464,0,44.1,7.85,124,0,Yellow,HD,0,0,0
JN-0442,0,70.7,9.59,41,1,Red,Blurry,0,0,0
JN-0131,0,43.3,14.37,172,12,Red,Blurry,0,0,0
JN-0264,0,37.3,13.25,16,5,Red,SD,0,0,0
JN-0482,1,5.0,13.18,162,8,Off,SD,0,0,1
JN-0389,1,40.2,15.77,116,6,Green,HD,0,0,0
JN-0416,1,33.3,13.21,64,19,Green,SD,0,0,0
JN-0489,1,26.6,4.07,97,16,Red,HD,1,0,0
JN-0029,1,39.9,5.12,134,28,Yellow,HD,1,0,0
JN-0212,1,30.3,5.94,151,24,Green,HD,0,0,0
JN-0311,1,42.3,13.08,156,11,Red,Blurry,0,0,1
JN-0107,1,33.8,5.2,104,19,Red,HD,0,1,0
JN-0500,1,63.8,19.86,37,11,Off,HD,0,0,0
JN-0118,1,42.1,2.89,27,14,Green,SD,0,1,0
JN-0274,1,35.4,7.35,89,43,Red,HD,0,1,0
JN-0270,1,26.7,17.9,47,8,Red,SD,0,0,0
JN-0296,1,38.0,15.24,24,0,Green,HD,0,0,0
JN-0425,1,39.6,15.41,60,18,Green,SD,0,0,0
JN-0376,1,44.5,12.2,87,47,Green,HD,0,0,0
JN-0500,1,62.4,9.42,48,22,Yellow,SD,0,0,0
JN-0204,1,38.5,10.2,44,0,Green,HD,0,0,0
JN-0317,1,44.4,7.98,171,44,Green,HD,0,0,0
JN-0427,1,39.7,11.23,93,35,Green,HD,0,0,0
JN-0062,1,44.6,13.5,35,41,Red,SD,0,0,0
JN-0335,1,52.1,11.19,162,10,Yellow,SD,0,0,0
JN-0205,1,27.1,12.14,28,40,Red,SD,0,1,0
JN-0452,1,66.5,8.77,67,34,Green,SD,0,0,1
JN-0171,1,26.5,2.48,107,16,Green,HD,0,0,0
JN-0185,1,18.2,5.35,11,33,Red,Blurry,0,1,0
JN-0054,1,39.9,12.69,78,45,Red,SD,0,0,0
JN-0180,1,59.2,12.98,180,35,Green,SD,0,0,0
JN-0441,1,51.6,7.14,42,7,Red,HD,0,0,0
JN-0320,1,40.7,11.39,28,29,Green,Blurry,1,0,0
JN-0314,1,55.8,7.8,110,13,Green,SD,0,0,0
JN-0389,1,62.2,22.9,96,37,Green,HD,0,0,0
JN-0051,1,5.0,17.93,70,7,Green,HD,0,0,0
JN-0141,1,79.5,12.42,154,34,Yellow,HD,0,0,0
JN-0260,1,13.5,3.66,62,21,Red,HD,0,0,0
JN-0499,1,41.3,13.65,64,10,Red,HD,1,0,0
JN-0400,1,30.9,24.48,79,47,Red,HD,0,0,1
JN-0021,1,44.9,9.81,148,31,Red,SD,1,0,0
JN-0388,1,50.1,11.92,141,14,Red,SD,1,0,0
JN-0190,1,31.7,14.49,82,45,Red,Blurry,0,0,0
JN-0115,1,55.9,15.22,6,1,Red,HD,0,0,0
JN-0085,1,36.7,4.86,82,39,Yellow,Blurry,1,0,0
JN-0266,1,40.5,16.63,124,43,Red,HD,0,0,0
JN-0485,1,36.2,6.52,70,8,Green,Blurry,0,0,0
JN-0144,1,39.2,18.8,68,35,Green,HD,0,0,0
JN-0031,1,36.9,5.61,143,49,Green,HD,0,0,0
JN-0078,1,52.9,13.93,29,20,Red,HD,1,0,0
JN-0445,1,32.5,6.8,170,3,Yellow,HD,0,0,0
JN-0157,1,62.8,6.81,138,2,Red,HD,0,0,0
JN-0167,1,7.2,12.76,57,14,Off,HD,0,0,0
JN-0439,1,44.5,6.88,177,26,Green,HD,0,0,0
JN-0471,1,36.0,12.08,152,33,Green,HD,0,0,0
JN-0245,1,49.9,8.08,121,38,Red,HD,1,0,0
JN-0225,1,36.6,16.75,83,1,Green,SD,0,0,0
JN-0234,1,44.2,3.63,165,30,Red,SD,1,0,0
JN-0430,1,34.1,5.26,30,9,Red,HD,1,1,0
JN-0056,1,42.1,15.05,101,9,Red,HD,0,0,0
JN-0024,1,33.8,8.52,140,9,Green,SD,0,0,0
JN-0418,1,46.3,9.69,20,17,Green,SD,0,0,0
JN-0427,1,44.6,14.36,79,23,Yellow,SD,0,0,1
JN-0412,1,30.9,13.73,106,8,Red,SD,0,0,0
JN-0420,1,31.3,12.39,139,4,Yellow,SD,0,0,0
JN-0251,1,20.5,8.13,7,42,Red,SD,0,0,0
JN-0040,1,26.4,13.54,72,17,Green,HD,0,0,0
JN-0019,1,12.0,16.5,145,46,Green,HD,0,0,0
JN-0191,1,22.9,9.59,39,37,Green,HD,0,0,0
JN-0439,1,47.6,11.2,12,3,Green,HD,0,0,0
JN-0094,1,15.8,12.55,30,36,Red,HD,1,0,0
JN-0441,1,49.0,6.58,114,23,Green,SD,1,0,0
JN-0291,1,60.3,18.01,68,2,Off,SD,0,0,0
JN-0194,1,57.5,12.92,145,46,Off,HD,0,0,0
JN-0118,1,54.8,18.41,88,43,Green,SD,0,0,0
JN-0317,1,62.6,12.14,107,16,Red,Offline,0,0,0
JN-0432,1,50.7,11.61,154,23,Yellow,SD,0,0,0
JN-0005,1,50.3,18.02,33,9,Green,HD,1,1,0
JN-0056,1,76.3,6.62,77,46,Green,HD,0,0,1
JN-0264,1,37.8,16.73,61,11,Red,SD,1,0,0
JN-0480,1,40.6,13.62,162,3,Red,HD,0,0,0
JN-0193,1,44.2,4.52,104,16,Green,HD,0,0,0
JN-0166,1,23.3,12.19,108,39,Red,HD,0,0,0
JN-0270,1,19.4,12.28,104,5,Red,SD,0,0,0
JN-0174,1,53.5,11.38,132,23,Green,SD,0,0,0
JN-0274,1,32.4,11.37,71,28,Red,SD,1,0,0
JN-0017,1,59.4,18.68,92,36,Yellow,SD,1,0,0
JN-0398,1,41.7,9.8,150,28,Green,HD,0,0,0
JN-0192,1,49.0,12.32,125,43,Green,SD,0,1,0
JN-0224,1,57.6,6.7,18,19,Red,SD,0,0,0
JN-0218,1,64.7,9.71,123,0,Red,Offline,0,1,0
JN-0104,1,10.4,12.63,170,11,Red,SD,0,0,1
JN-0447,1,56.9,16.38,77,22,Green,SD,0,0,1
JN-0366,1,19.4,13.08,6,25,Off,SD,0,0,0
JN-0167,1,49.3,5.83,102,0,Yellow,HD,1,0,0
JN-0013,1,44.6,10.45,48,21,Green,Blurry,0,1,0
JN-0165,1,33.1,18.87,144,47,Red,SD,0,1,0
JN-0220,1,35.5,8.51,150,7,Green,SD,0,0,0
JN-0241,1,33.9,10.7,160,35,Green,Blurry,1,1,1
JN-0179,1,29.5,15.38,123,25,Red,HD,0,0,0
JN-0243,1,29.6,14.39,82,4,Green,SD,0,0,0
JN-0203,1,33.0,12.76,160,44,Green,SD,1,0,1
JN-0343,1,53.7,19.01,31,15,Red,SD,0,0,0
JN-0381,1,30.8,9.3,57,31,Green,HD,0,0,0
JN-0065,1,8.2,9.1,50,9,Green,HD,0,0,0
JN-0285,1,20.8,11.44,62,10,Red,HD,0,0,0
JN-0192,1,32.4,14.6,162,32,Red,SD,0,0,0
JN-0282,1,27.4,14.23,134,5,Green,SD,0,0,0
JN-0033,1,33.6,12.39,87,8,Red,SD,0,0,0
JN-0201,1,42.3,12.9,150,16,Green,Blurry,0,0,0
JN-0242,1,32.9,15.55,142,22,Red,HD,0,0,0
JN-0399,1,38.0,11.08,33,8,Green,HD,0,0,0
JN-0478,1,28.6,18.36,143,32,Green,HD,0,0,1
JN-0013,1,5.0,25.28,62,7,Yellow,Blurry,0,0,0
JN-0484,1,58.6,9.31,72,25,Red,HD,0,0,0
JN-0226,1,39.3,18.74,25,32,Green,SD,0,0,0
JN-0011,1,31.7,15.41,134,46,Off,HD,0,0,0
JN-0421,1,67.1,17.28,90,5,Green,SD,0,0,0
JN-0417,1,14.0,12.31,80,11,Green,SD,0,0,0
JN-0055,1,42.2,9.49,45,10,Red,HD,0,0,0
JN-0270,1,31.8,15.31,179,48,Green,HD,0,0,0
JN-0259,1,28.6,11.16,168,27,Green,Blurry,1,0,0
JN-0100,1,24.5,0.06,141,31,Red,SD,1,0,0
JN-0456,1,31.8,15.89,38,26,Red,HD,1,0,0
JN-0286,2,70.8,11.9,126,43,Green,HD,1,0,0
JN-0021,2,50.7,12.38,106,44,Green,HD,0,0,0
JN-0470,2,37.2,3.53,172,31,Green,SD,1,0,0
JN-0338,2,31.8,10.43,126,18,Green,HD,1,0,0
JN-0299,2,26.4,11.33,179,42,Off,HD,0,0,1
JN-0002,2,51.3,11.53,23,42,Red,HD,0,0,0
JN-0253,2,63.2,7.67,97,30,Green,HD,0,0,0
JN-0483,2,19.6,18.17,156,40,Green,Blurry,0,0,0
JN-0491,2,49.3,12.46,69,20,Green,SD,0,1,0
JN-0075,2,45.4,9.81,32,19,Green,Blurry,0,0,0
JN-0081,2,34.9,14.67,21,29,Green,Blurry,0,0,1
JN-0086,2,27.7,14.32,24,4,Yellow,HD,0,0,0
JN-0489,2,45.9,16.59,165,12,Red,HD,1,0,0
JN-0390,2,34.9,11.25,108,26,Green,HD,0,0,0
JN-0206,2,69.0,10.23,110,10,Red,HD,1,0,1
JN-0270,2,45.5,9.9,89,30,Green,HD,1,0,0
JN-0223,2,24.1,19.58,80,23,Red,SD,0,0,0
JN-0461,2,48.2,19.73,47,4,Yellow,SD,1,0,0
JN-0270,2,22.0,9.27,82,0,Red,HD,0,0,0
JN-0260,2,44.7,9.27,81,12,Red,HD,0,0,0
JN-0388,2,63.2,10.07,177,42,Green,HD,0,0,0
JN-0334,2,44.6,1.98,58,1,Yellow,HD,0,0,0
JN-0259,2,23.9,5.55,152,41,Off,HD,0,0,0
JN-0128,2,59.5,22.47,162,29,Green,Offline,0,0,0
JN-0072,2,45.0,15.08,164,1,Yellow,Offline,0,1,0
JN-0047,2,23.8,14.38,32,13,Red,HD,0,0,0
JN-0279,2,19.3,11.39,146,38,Green,Blurry,0,0,0
JN-0013,2,37.6,13.44,71,34,Red,Offline,0,0,0
JN-0326,2,32.6,13.13,18,19,Green,Blurry,0,0,0
JN-0079,2,39.6,11.38,39,26,Red,Blurry,1,0,0
JN-0462,2,37.5,13.13,60,2,Off,Offline,0,0,0
JN-0080,2,15.2,1.95,20,18,Green,HD,0,0,0
JN-0375,2,5.0,4.42,47,35,Green,HD,1,0,0
JN-0205,2,26.3,11.09,71,47,Green,Blurry,0,0,0
JN-0367,2,31.5,5.57,40,3,Red,Blurry,0,0,0
JN-0197,2,37.9,10.29,126,20,Red,HD,0,0,1
JN-0254,2,47.0,13.68,36,16,Yellow,Blurry,0,0,0
JN-0345,2,48.8,9.89,4,26,Yellow,Blurry,0,0,0
JN-0041,2,48.6,9.9,30,23,Green,HD,0,0,0
JN-0223,2,36.7,13.11,25,0,Green,Blurry,0,0,0
JN-0263,2,14.7,12.43,85,44,Red,SD,0,0,0
JN-0172,2,28.5,15.7,121,8,Yellow,HD,0,0,0
JN-0280,2,75.6,11.65,167,48,Green,Blurry,0,0,0
JN-0011,2,27.5,21.12,30,2,Red,HD,1,0,1
JN-0436,2,26.1,8.48,64,50,Green,SD,0,0,0
JN-0141,2,39.3,11.77,108,35,Red,Blurry,0,0,0
JN-0128,2,36.1,12.2,71,25,Green,SD,1,0,0
JN-0390,2,7.8,18.42,60,17,Green,SD,0,0,0
JN-0155,2,8.6,4.55,134,37,Red,HD,0,1,0
JN-0159,2,15.1,5.03,141,50,Green,SD,0,1,0
JN-0113,2,19.2,8.39,81,20,Red,SD,0,1,0
JN-0016,2,71.1,9.92,28,1,Green,SD,1,0,0
JN-0339,2,44.6,10.66,12,6,Green,SD,0,0,0
JN-0479,2,24.2,13.66,50,12,Green,HD,1,0,0
JN-0388,2,43.2,16.52,39,45,Green,Blurry,0,0,0
JN-0223,2,40.3,8.14,23,42,Green,Blurry,0,0,0
JN-0034,2,60.6,11.4,116,47,Green,HD,0,0,0
JN-0217,2,80.3,15.13,79,28,Green,HD,1,0,0
JN-0456,2,50.5,7.19,166,36,Yellow,Blurry,0,0,1
JN-0213,2,18.5,18.45,67,42,Red,Blurry,0,0,0
JN-0398,2,48.6,8.92,141,32,Red,HD,0,0,0
JN-0318,2,22.6,20.44,176,40,Red,HD,0,0,1
JN-0294,2,43.6,18.81,157,9,Red,Blurry,0,0,0
JN-0202,2,46.6,10.58,81,22,Red,HD,1,0,0
JN-0326,2,59.1,16.49,117,29,Yellow,SD,0,0,0
JN-0378,2,33.3,10.5,116,26,Green,HD,1,0,0
JN-0041,2,45.3,17.69,150,18,Green,Offline,0,0,0
JN-0317,2,45.5,3.75,104,30,Red,SD,0,0,0
JN-0272,2,16.0,1.76,93,50,Green,SD,0,0,0
JN-0161,2,40.2,13.42,71,12,Red,HD,0,0,0
JN-0476,2,63.1,15.77,140,22,Red,SD,0,0,0
JN-0128,2,51.6,11.72,10,10,Red,HD,0,0,0
JN-0117,2,25.4,6.02,144,6,Red,HD,0,0,1
JN-0426,2,38.7,13.94,53,41,Green,Blurry,0,0,0
JN-0364,2,24.0,14.44,153,19,Green,HD,0,0,0
JN-0125,2,66.2,12.14,118,15,Green,HD,1,0,0
JN-0301,2,33.5,10.58,42,13,Green,SD,0,0,0
JN-0407,2,40.4,12.29,177,2,Green,SD,0,0,0
JN-0428,2,44.0,3.14,71,27,Red,SD,1,0,0
JN-0058,2,50.2,12.32,81,50,Green,HD,0,0,0
JN-0021,2,20.0,7.76,149,45,Green,HD,1,0,0
JN-0368,2,32.9,11.87,88,17,Green,SD,0,0,0
JN-0471,2,28.5,13.6,39,6,Red,Blurry,0,0,0
JN-0204,2,18.3,18.1,125,36,Red,SD,0,0,0
JN-0048,2,41.0,9.78,7,46,Red,Blurry,0,0,0
JN-0337,2,38.7,12.73,25,32,Green,SD,0,0,0
JN-0449,2,34.0,6.23,43,32,Green,SD,0,1,1
JN-0434,2,19.9,16.73,109,26,Green,HD,0,0,0
JN-0198,2,50.0,12.35,161,40,Yellow,HD,1,0,1
JN-0184,2,36.7,12.2,15,38,Red,Offline,0,0,0
JN-0253,2,27.2,7.87,158,8,Red,Blurry,1,0,0
JN-0352,2,55.2,11.2,176,15,Green,Blurry,0,0,0
JN-0201,2,22.3,9.62,98,32,Green,SD,0,0,0
JN-0309,2,51.4,12.54,150,30,Red,SD,0,0,0
JN-0056,2,45.6,10.49,50,14,Red,HD,0,0,0
JN-0310,2,27.7,10.9,99,42,Red,SD,0,0,0
JN-0229,2,37.7,18.29,54,47,Green,HD,0,0,1
JN-0007,2,45.5,18.48,38,26,Yellow,HD,0,0,0
JN-0414,2,37.0,12.15,24,45,Red,HD,0,0,0
JN-0301,2,53.0,16.17,64,16,Red,SD,0,0,0
JN-0269,2,20.2,9.5,17,35,Red,HD,0,0,0
JN-0437,2,26.8,11.24,58,25,Yellow,HD,0,0,0
JN-0441,2,45.0,9.16,25,47,Green,HD,0,0,0
JN-0105,2,43.5,17.12,6,49,Red,HD,1,0,0
JN-0151,2,26.3,12.19,97,19,Red,HD,0,0,0
JN-0177,2,61.8,4.78,177,10,Red,HD,0,0,0
JN-0127,2,28.6,11.24,117,38,Off,HD,0,0,0
JN-0106,2,13.3,21.55,111,6,Green,HD,1,0,0
JN-0324,2,5.0,13.19,103,44,Red,HD,0,0,0
JN-0162,2,28.8,8.05,40,43,Off,SD,0,0,0
JN-0427,2,49.0,11.51,25,2,Green,Blurry,0,0,0
JN-0237,2,33.7,15.09,165,46,Red,HD,0,0,0
JN-0063,2,16.6,9.95,92,9,Yellow,HD,0,0,0
JN-0477,2,35.6,12.85,57,4,Green,SD,0,0,0
JN-0434,2,24.4,13.64,164,9,Green,SD,1,0,1
JN-0240,2,66.1,12.96,177,17,Red,SD,0,0,0
JN-0297,2,22.7,6.42,146,9,Red,SD,0,0,0
JN-0136,2,35.4,11.82,79,12,Red,SD,0,0,0
JN-0113,2,33.6,11.68,177,41,Green,HD,0,0,0
JN-0095,2,48.3,18.75,97,19,Red,HD,0,1,0
JN-0289,3,38.5,14.67,148,8,Red,HD,0,0,0
JN-0085,3,25.1,10.02,58,39,Red,HD,1,0,0
JN-0179,3,49.6,10.78,135,7,Yellow,SD,0,0,0
JN-0465,3,32.5,16.2,3,6,Red,SD,0,0,0
JN-0328,3,60.1,20.18,82,0,Red,HD,0,0,0
JN-0492,3,50.8,17.2,149,24,Green,HD,1,0,0
JN-0238,3,42.4,6.95,105,8,Yellow,SD,0,0,0
JN-0206,3,52.0,17.62,173,24,Red,SD,0,0,0
JN-0082,3,77.4,7.07,92,46,Red,Blurry,1,0,0
JN-0031,3,39.6,5.89,114,4,Green,HD,1,0,0
JN-0314,3,35.6,4.96,60,42,Green,SD,0,0,0
JN-0060,3,29.1,24.6,105,27,Green,HD,0,0,1
JN-0404,3,33.1,11.14,112,24,Red,HD,0,0,1
JN-0193,3,22.7,12.23,130,37,Red,Blurry,0,0,0
JN-0247,3,45.4,12.11,42,28,Green,Blurry,0,0,0
JN-0162,3,40.8,7.09,137,47,Green,SD,0,0,0
JN-0471,3,52.2,11.22,69,32,Green,Blurry,1,0,0
JN-0468,3,34.2,17.08,3,15,Yellow,SD,0,0,0
JN-0411,3,29.1,16.17,33,35,Red,Blurry,1,0,0
JN-0329,3,37.5,16.06,91,50,Off,SD,0,0,1
JN-0331,3,50.1,16.89,123,32,Green,HD,1,0,0
JN-0114,3,28.8,17.69,117,7,Red,HD,1,0,0
JN-0383,3,53.4,19.97,82,7,Yellow,HD,0,0,0
JN-0432,3,62.7,11.97,162,39,Red,HD,1,0,0
JN-0304,3,30.3,11.69,8,40,Yellow,SD,0,0,0
JN-0418,3,5.0,8.07,43,17,Green,SD,0,0,0
JN-0035,3,16.2,9.33,97,38,Green,Blurry,0,0,1
JN-0170,3,44.7,9.3,102,21,Green,Blurry,0,0,0
JN-0432,3,23.0,9.79,120,37,Yellow,HD,0,0,1
JN-0235,3,54.2,8.65,139,23,Red,Blurry,0,0,0
JN-0074,3,27.3,9.06,76,43,Green,SD,0,0,1
JN-0363,3,20.2,6.3,100,40,Green,HD,0,0,0
JN-0244,3,35.6,10.82,173,15,Green,SD,0,0,0
JN-0478,3,45.8,11.79,30,37,Green,SD,0,0,0
JN-0342,3,30.7,14.33,87,38,Off,SD,0,0,0
JN-0054,3,54.3,5.98,99,37,Red,HD,1,0,0
JN-0114,3,54.3,16.75,131,14,Yellow,HD,1,0,0
JN-0121,3,10.4,17.72,177,35,Green,HD,0,0,0
JN-0433,3,36.3,13.23,54,41,Green,HD,0,0,0
JN-0102,3,38.4,6.73,178,17,Red,HD,0,0,0
JN-0327,3,17.9,13.45,4,18,Green,Offline,0,0,0
JN-0404,3,30.0,5.34,175,10,Green,Offline,0,0,0
JN-0163,3,65.3,8.76,50,35,Red,SD,1,0,0
JN-0182,3,35.7,9.24,26,25,Red,SD,0,0,0
JN-0048,3,20.7,11.39,150,38,Red,HD,0,0,0
JN-0210,3,29.1,12.0,158,29,Green,HD,0,0,0
JN-0015,3,35.7,3.61,54,29,Green,HD,0,0,0
JN-0018,3,29.8,13.75,164,46,Green,HD,0,0,0
JN-0234,3,41.3,9.17,173,36,Green,SD,0,0,0
JN-0111,3,25.0,3.49,13,33,Red,SD,0,0,0
JN-0412,3,13.3,7.41,36,10,Red,SD,1,0,0
JN-0219,3,23.2,16.48,27,29,Green,SD,0,0,0
JN-0478,3,37.7,16.91,104,39,Green,SD,1,0,1
JN-0447,3,50.8,13.49,99,9,Red,SD,0,0,0
JN-0284,3,33.5,9.23,80,3,Green,HD,0,0,0
JN-0195,3,51.6,10.28,65,3,Red,SD,0,1,0
JN-0059,3,32.7,5.14,51,39,Green,HD,0,0,0
JN-0043,3,53.6,14.21,49,1,Red,SD,0,1,0
JN-0372,3,28.9,6.41,143,39,Green,HD,0,0,0
JN-0119,3,56.5,16.29,131,2,Green,Blurry,0,0,0
JN-0245,3,19.6,16.21,180,0,Off,HD,0,0,0
JN-0256,3,36.9,5.82,135,34,Red,HD,1,0,0
JN-0173,3,39.1,17.14,35,6,Green,HD,0,0,0
JN-0022,3,35.9,15.68,106,2,Red,HD,0,0,0
JN-0376,3,35.6,2.19,112,46,Red,HD,1,0,0
