vehicle_type,driver_age,driving_experience_yrs,gender,license_valid,helmet_or_seatbelt,alcohol_detected,mobile_phone_use,fatigue_score,vehicle_age_years,last_service_months,past_accident_count
Two-Wheeler,34,7,Male,1,0,0,1,0.389,4,11,3
Two-Wheeler,58,6,Male,1,0,0,0,0.578,16,24,0
Car/SUV,45,12,Male,1,1,0,0,0.524,23,15,0
Car/SUV,46,0,Male,1,1,0,0,0.492,17,35,0
Auto-Rickshaw,31,13,Male,1,0,0,0,0.087,4,15,1
Tractor,43,11,Male,1,1,0,0,0.127,23,27,0
E-Rickshaw,31,13,Male,1,1,0,0,0.343,3,17,1
Auto-Rickshaw,30,12,Male,1,1,0,1,0.24,8,18,0
Auto-Rickshaw,18,0,Male,1,1,0,0,0.213,4,12,0
Car/SUV,28,10,Male,1,1,0,0,0.228,11,8,0
Truck/HCV,23,0,Male,0,1,0,0,0.08,4,25,0
Auto-Rickshaw,46,9,Male,1,1,0,1,0.291,25,34,0
Car/SUV,61,35,Male,0,1,0,0,0.535,6,34,0
Tractor,30,0,Male,0,1,0,0,0.397,2,36,0
Bus,25,0,Male,1,0,0,0,0.363,3,20,1
Tempo,55,12,Male,1,1,1,0,0.22,22,6,0
E-Rickshaw,54,29,Male,1,0,0,0,0.132,2,0,1
Two-Wheeler,34,13,Male,1,0,0,1,0.321,5,8,0
Two-Wheeler,59,14,Male,1,1,0,0,0.197,4,23,1
Truck/HCV,60,11,Male,1,1,0,0,0.233,23,17,2
Car/SUV,28,10,Male,1,0,0,0,0.188,21,1,3
Truck/HCV,20,2,Male,1,0,0,1,0.397,8,15,0
Truck/HCV,57,25,Female,0,1,0,0,0.274,20,34,2
Two-Wheeler,48,30,Male,0,0,0,0,0.391,14,15,1
Tractor,28,6,Male,1,1,0,0,0.144,9,25,0
Tractor,56,31,Male,1,1,0,0,0.603,13,20,0
Tempo,62,35,Female,0,0,0,1,0.475,25,14,0
Bus,63,8,Male,1,1,0,1,0.242,13,30,0
Tractor,18,0,Female,1,1,0,1,0.421,12,27,0
Truck/HCV,23,5,Female,1,0,0,1,0.466,10,31,0
Tempo,62,30,Female,1,0,0,1,0.443,16,32,0
Car/SUV,21,3,Male,1,1,0,1,0.464,19,19,0
E-Rickshaw,42,19,Male,0,1,1,0,0.346,20,2,1
Bus,36,18,Male,1,1,0,1,0.293,21,5,1
E-Rickshaw,29,11,Male,1,1,0,1,0.076,10,7,0
Truck/HCV,29,11,Female,1,1,0,1,0.367,25,20,0
Tractor,38,5,Female,1,1,0,0,0.033,9,23,1
Tempo,65,33,Female,1,0,0,0,0.381,6,26,0
Tractor,18,0,Male,1,0,0,0,0.185,16,18,0
Car/SUV,46,11,Male,1,1,0,0,0.201,23,21,1
Car/SUV,28,10,Male,1,0,0,1,0.12,20,24,1
Two-Wheeler,21,3,Male,1,1,0,0,0.304,14,6,0
Car/SUV,42,23,Female,0,1,0,0,0.039,3,10,1
Tractor,29,11,Male,1,1,0,0,0.253,0,6,0
E-Rickshaw,34,11,Female,0,1,0,1,0.612,22,0,0
Truck/HCV,41,4,Female,1,1,0,0,0.374,8,3,0
Car/SUV,35,7,Male,1,1,1,0,0.017,10,22,0
Auto-Rickshaw,45,5,Other,1,0,0,0,0.487,2,34,1
E-Rickshaw,54,16,Male,1,1,0,0,0.305,10,23,0
Two-Wheeler,23,0,Male,1,1,0,0,0.33,18,1,3
Tempo,48,0,Male,1,0,0,0,0.344,12,4,0
E-Rickshaw,18,0,Other,1,0,0,0,0.182,14,0,0
Bus,43,2,Male,1,0,0,1,0.294,20,30,0
Auto-Rickshaw,41,3,Male,1,1,0,0,0.258,0,34,0
Truck/HCV,34,1,Male,0,0,0,0,0.166,5,20,2
Tempo,38,20,Male,1,1,0,0,0.458,22,33,0
E-Rickshaw,47,27,Male,1,0,0,0,0.229,4,26,2
Tempo,49,15,Male,1,0,0,1,0.096,12,34,0
Bus,37,19,Male,1,1,1,1,0.062,9,11,0
Car/SUV,59,5,Female,1,1,0,0,0.225,7,15,0
Bus,64,8,Female,1,1,0,1,0.562,25,11,0
Car/SUV,42,24,Male,0,0,0,0,0.149,21,35,0
Tempo,43,3,Male,1,0,0,0,0.264,18,30,1
Car/SUV,40,6,Male,1,0,0,0,0.048,11,33,1
Tractor,52,20,Male,0,0,1,1,0.125,19,23,2
Bus,64,24,Female,0,0,0,0,0.121,12,2,1
Two-Wheeler,33,9,Female,1,1,0,1,0.237,14,19,0
Bus,37,19,Male,1,1,0,0,0.309,9,7,2
E-Rickshaw,62,4,Female,1,1,0,0,0.224,23,30,0
Two-Wheeler,28,10,Female,1,1,1,0,0.208,6,31,0
Auto-Rickshaw,36,18,Male,1,1,0,0,0.542,18,31,0
Tempo,52,4,Male,1,1,0,0,0.321,2,34,1
Two-Wheeler,45,21,Male,1,0,0,0,0.174,0,19,1
Car/SUV,24,2,Male,1,1,0,1,0.558,10,13,3
Tractor,58,10,Male,1,1,0,0,0.433,21,25,0
Truck/HCV,64,3,Male,0,0,0,1,0.082,7,28,0
Truck/HCV,32,14,Male,0,0,0,0,0.141,12,5,2
Car/SUV,25,7,Male,1,1,0,0,0.243,11,36,1
E-Rickshaw,30,12,Male,1,0,0,0,0.115,20,16,0
Auto-Rickshaw,44,7,Male,1,0,0,1,0.109,1,32,1
Auto-Rickshaw,61,6,Male,1,0,0,1,0.189,24,15,1
Tractor,51,23,Male,1,0,0,0,0.248,18,16,0
Two-Wheeler,24,6,Male,1,0,0,1,0.312,2,28,0
Two-Wheeler,55,24,Male,1,1,0,0,0.431,0,14,0
Truck/HCV,21,3,Male,1,1,0,0,0.622,11,20,1
Tempo,24,6,Male,1,1,0,0,0.462,22,34,0
Auto-Rickshaw,36,12,Male,1,1,0,0,0.495,13,13,0
Tempo,65,7,Female,1,0,0,0,0.5,22,34,1
Tempo,39,10,Male,1,1,0,0,0.337,16,10,0
Car/SUV,64,28,Male,1,0,0,0,0.421,2,24,0
Auto-Rickshaw,31,6,Male,1,0,0,1,0.092,4,27,0
Car/SUV,63,5,Male,1,1,1,1,0.494,4,27,0
Bus,45,3,Male,1,1,0,0,0.03,16,20,0
E-Rickshaw,61,27,Other,0,0,1,1,0.249,5,10,1
Tempo,59,15,Male,1,0,0,0,0.124,5,32,0
E-Rickshaw,32,4,Male,1,0,0,0,0.382,4,16,0
Tractor,47,9,Male,1,0,1,0,0.414,21,3,0
E-Rickshaw,24,3,Male,1,1,0,1,0.205,20,15,0
Tractor,38,14,Male,1,1,0,1,0.149,2,10,1
Two-Wheeler,34,16,Male,1,1,0,0,0.317,11,26,0
Auto-Rickshaw,18,0,Male,1,1,0,1,0.319,25,17,1
Bus,32,14,Female,1,1,0,0,0.667,6,26,0
Tempo,53,22,Male,1,0,0,1,0.364,10,17,0
Car/SUV,42,24,Male,1,0,0,0,0.541,11,18,0
Bus,35,10,Female,1,1,0,0,0.331,24,12,0
Car/SUV,51,6,Female,1,0,0,0,0.325,16,22,0
Auto-Rickshaw,19,1,Male,1,0,0,0,0.573,22,30,0
Bus,39,21,Male,0,0,0,0,0.454,2,17,1
Auto-Rickshaw,47,1,Male,1,1,0,0,0.022,13,35,1
Car/SUV,62,10,Male,1,0,0,0,0.497,15,6,1
Two-Wheeler,34,16,Male,1,1,0,1,0.334,1,29,0
Truck/HCV,62,23,Male,1,1,1,1,0.496,17,25,0
Auto-Rickshaw,29,11,Female,1,1,0,1,0.45,7,14,0
Tempo,36,9,Female,1,1,0,1,0.711,12,17,1
Bus,57,2,Male,1,1,0,0,0.215,18,10,0
E-Rickshaw,24,3,Male,1,0,0,0,0.337,1,17,0
E-Rickshaw,55,8,Male,1,1,0,0,0.145,21,21,1
Bus,20,2,Male,0,1,0,0,0.077,0,14,0
Tempo,41,0,Female,1,1,0,0,0.467,9,17,0
Two-Wheeler,39,0,Male,0,0,0,0,0.158,7,1,3
Truck/HCV,63,35,Male,1,0,0,1,0.471,4,2,0
Two-Wheeler,25,7,Male,0,0,0,0,0.197,24,15,0
Tractor,31,13,Male,0,1,0,0,0.257,16,18,1
Auto-Rickshaw,26,8,Male,1,0,1,0,0.151,24,6,0
Two-Wheeler,54,4,Male,1,0,0,0,0.187,15,18,0
Auto-Rickshaw,59,9,Male,1,1,0,0,0.368,25,34,0
Two-Wheeler,21,3,Male,0,1,0,0,0.143,0,11,0
Car/SUV,46,19,Male,1,0,0,1,0.237,1,26,0
Bus,60,17,Female,0,1,0,0,0.265,21,14,0
Bus,46,27,Male,0,0,0,1,0.649,23,30,0
E-Rickshaw,23,5,Male,1,0,0,1,0.41,7,33,0
Bus,65,1,Female,1,1,0,0,0.348,17,15,1
Tractor,37,6,Female,1,1,0,0,0.149,21,12,1
Two-Wheeler,52,1,Female,1,0,0,0,0.235,12,25,0
Tractor,54,27,Male,1,0,0,0,0.325,8,17,0
Tractor,28,10,Male,1,0,0,0,0.582,11,18,0
Bus,33,15,Male,0,1,0,1,0.373,18,6,0
E-Rickshaw,55,19,Male,1,1,1,0,0.287,6,14,0
E-Rickshaw,61,29,Male,0,1,0,0,0.332,5,34,1
Auto-Rickshaw,50,25,Male,1,1,0,1,0.361,19,23,2
Tempo,53,26,Female,1,0,0,0,0.247,3,8,1
Car/SUV,36,4,Male,1,0,0,0,0.297,4,22,1
Auto-Rickshaw,64,34,Female,1,0,0,0,0.564,12,1,1
Truck/HCV,58,7,Female,1,0,1,0,0.305,8,30,2
Truck/HCV,43,8,Male,1,1,0,0,0.154,25,20,1
Tempo,64,4,Male,1,1,0,1,0.286,23,0,1
E-Rickshaw,42,24,Male,1,0,0,0,0.48,20,13,0
Auto-Rickshaw,38,10,Male,1,0,0,0,0.356,18,22,1
Car/SUV,33,7,Male,0,1,0,0,0.093,13,35,0
Auto-Rickshaw,26,8,Male,1,0,0,0,0.079,14,21,0
Two-Wheeler,53,16,Male,1,1,1,0,0.432,24,6,0
Bus,31,11,Other,1,1,1,1,0.54,10,30,0
Tempo,51,13,Female,1,1,0,1,0.05,7,19,0
Truck/HCV,42,18,Male,1,1,0,0,0.34,9,1,0
Car/SUV,53,6,Female,1,1,0,0,0.285,11,10,0
E-Rickshaw,47,29,Male,0,1,0,0,0.118,21,8,0
Car/SUV,26,8,Male,1,0,0,0,0.168,10,1,0
Auto-Rickshaw,55,5,Male,1,1,0,0,0.635,19,29,0
E-Rickshaw,46,19,Female,0,1,0,1,0.416,16,20,2
Two-Wheeler,47,17,Male,0,1,0,0,0.233,25,31,1
Bus,24,6,Male,1,0,0,1,0.423,17,18,0
Bus,34,16,Male,0,0,0,1,0.176,1,14,0
Bus,60,22,Male,0,1,0,1,0.403,17,22,0
Truck/HCV,25,7,Female,0,0,0,0,0.261,19,32,1
E-Rickshaw,44,9,Male,1,1,0,1,0.189,17,2,0
Auto-Rickshaw,30,4,Male,1,0,0,1,0.228,5,12,0
Auto-Rickshaw,47,8,Female,1,1,0,0,0.332,12,1,0
E-Rickshaw,58,16,Male,1,0,0,1,0.453,20,33,0
Auto-Rickshaw,49,21,Male,0,1,0,0,0.162,4,4,0
Bus,40,19,Male,1,1,0,1,0.319,0,30,3
Auto-Rickshaw,36,18,Male,1,0,0,0,0.071,21,7,1
Tempo,34,16,Male,1,0,0,1,0.107,6,20,2
Bus,54,5,Male,0,1,0,0,0.117,3,36,0
Bus,60,8,Female,1,0,0,0,0.386,7,10,0
E-Rickshaw,25,7,Male,1,0,0,0,0.27,7,24,0
Car/SUV,34,16,Female,0,1,0,0,0.275,0,8,0
Tempo,25,7,Male,1,1,0,0,0.176,19,30,0
Two-Wheeler,31,4,Male,0,1,0,1,0.251,9,31,3
Bus,36,13,Male,1,1,0,0,0.295,1,29,0
E-Rickshaw,24,4,Male,1,1,0,0,0.45,17,0,0
Car/SUV,36,13,Female,1,0,1,0,0.395,17,24,0
E-Rickshaw,24,4,Male,1,1,0,0,0.346,22,18,0
Car/SUV,43,21,Male,0,1,0,0,0.43,8,30,1
Tractor,41,22,Female,1,1,0,1,0.239,24,8,1
Auto-Rickshaw,38,20,Female,0,1,0,0,0.258,11,35,1
Car/SUV,35,17,Female,1,1,0,0,0.168,8,15,0
Tractor,48,7,Female,1,1,0,1,0.189,2,6,1
Auto-Rickshaw,21,3,Male,0,0,0,0,0.121,24,30,0
Two-Wheeler,41,23,Male,0,1,1,0,0.087,10,16,1
Tempo,23,5,Male,1,1,0,1,0.535,15,35,0
Bus,20,2,Male,0,0,0,1,0.164,25,35,1
Bus,22,2,Male,1,1,0,1,0.11,16,12,0
Truck/HCV,30,3,Male,1,0,0,0,0.134,23,21,1
Truck/HCV,59,11,Male,0,0,0,0,0.063,25,17,0
Car/SUV,53,22,Male,1,1,0,0,0.294,10,32,0
Truck/HCV,65,5,Female,1,1,0,1,0.185,11,22,0
Car/SUV,18,0,Male,1,0,0,0,0.336,25,16,0
Tempo,42,19,Male,1,1,0,0,0.519,25,2,0
Auto-Rickshaw,34,16,Male,0,1,0,0,0.304,14,24,0
Truck/HCV,35,17,Male,0,0,0,0,0.628,1,6,0
Truck/HCV,42,2,Male,0,1,0,0,0.146,21,15,0
Truck/HCV,44,16,Male,1,1,0,0,0.479,5,21,1
Tempo,55,10,Female,1,1,0,0,0.316,11,28,0
E-Rickshaw,55,34,Male,1,1,0,0,0.421,16,18,0
E-Rickshaw,46,9,Male,1,1,0,0,0.616,0,0,1
Car/SUV,62,25,Male,1,0,0,1,0.428,18,34,1
Tempo,23,5,Male,1,0,0,0,0.32,23,9,1
Tempo,28,10,Male,1,1,1,1,0.135,5,24,0
Two-Wheeler,33,15,Male,1,0,0,1,0.463,7,31,0
Auto-Rickshaw,57,14,Female,1,1,0,0,0.627,20,33,1
E-Rickshaw,47,25,Male,1,0,0,0,0.303,16,34,1
Bus,53,27,Male,0,0,0,0,0.155,20,9,0
Auto-Rickshaw,57,32,Male,0,1,0,1,0.478,25,25,0
E-Rickshaw,24,6,Male,1,0,0,1,0.337,18,9,1
E-Rickshaw,24,6,Male,1,0,0,0,0.181,13,14,0
Auto-Rickshaw,33,13,Male,0,1,0,1,0.319,14,18,2
Tractor,32,13,Male,1,1,0,0,0.02,0,23,0
Two-Wheeler,63,20,Female,0,1,0,0,0.123,18,7,0
Two-Wheeler,28,10,Male,1,1,1,0,0.183,23,30,0
Bus,39,4,Male,1,0,0,0,0.055,16,6,1
E-Rickshaw,49,29,Male,1,0,0,1,0.522,21,19,1
E-Rickshaw,57,7,Female,1,0,0,0,0.304,16,9,0
Auto-Rickshaw,52,8,Female,1,0,0,0,0.337,8,22,0
Tempo,34,16,Male,1,1,0,0,0.146,9,8,0
Bus,38,7,Male,1,0,0,0,0.394,22,21,0
Bus,54,33,Female,0,1,0,0,0.254,8,8,2
Car/SUV,55,8,Male,1,1,0,1,0.192,22,25,2
Truck/HCV,27,9,Female,1,1,0,1,0.259,15,35,1
Truck/HCV,39,0,Male,0,0,0,1,0.172,23,19,0
Tractor,20,2,Male,0,0,0,1,0.397,22,35,0
Tempo,40,22,Male,1,1,0,0,0.141,19,13,0
Tempo,28,10,Male,1,1,0,0,0.317,19,6,0
Tractor,65,20,Male,1,0,0,1,0.377,13,5,0
E-Rickshaw,47,28,Female,0,0,1,1,0.259,9,9,0
E-Rickshaw,45,9,Male,1,1,0,0,0.262,6,2,0
Tempo,31,13,Female,1,1,0,1,0.292,16,11,0
Tractor,18,0,Male,1,1,0,0,0.184,18,29,0
Tractor,18,0,Female,0,0,0,0,0.121,17,30,1
Auto-Rickshaw,45,5,Male,0,1,0,0,0.317,14,25,0
Bus,24,6,Male,1,1,0,0,0.142,0,17,0
Bus,59,22,Male,0,0,1,0,0.273,12,33,1
Two-Wheeler,49,9,Female,1,1,0,1,0.34,10,7,0
Bus,55,12,Female,0,0,0,0,0.298,8,28,0
Two-Wheeler,33,0,Male,1,0,0,0,0.475,2,35,2
Tempo,51,31,Male,1,1,0,0,0.134,14,6,2
Auto-Rickshaw,64,1,Male,1,1,0,0,0.549,16,32,0
Auto-Rickshaw,64,34,Male,0,1,0,0,0.191,6,29,0
Two-Wheeler,62,32,Male,1,0,0,0,0.328,11,0,2
Truck/HCV,62,9,Male,0,1,0,1,0.168,8,2,0
Tempo,34,0,Female,1,1,0,0,0.381,15,36,0
Truck/HCV,51,2,Male,0,0,0,1,0.424,14,1,1
E-Rickshaw,49,31,Female,1,1,0,0,0.401,20,36,0
Tractor,47,27,Male,0,0,0,0,0.374,14,15,0
E-Rickshaw,57,20,Male,1,1,0,0,0.081,22,1,1
Tractor,44,26,Male,1,0,0,1,0.191,16,15,2
Car/SUV,20,2,Male,1,1,1,1,0.522,23,15,1
Auto-Rickshaw,53,22,Female,0,0,0,0,0.166,10,14,0
Tempo,62,28,Female,0,0,0,0,0.154,2,17,0
Truck/HCV,33,15,Male,0,0,0,0,0.183,6,12,0
E-Rickshaw,28,10,Male,1,1,0,1,0.45,20,31,0
Truck/HCV,33,15,Male,1,0,0,1,0.067,1,32,0
Car/SUV,54,30,Male,1,1,0,0,0.324,20,23,0
Bus,32,14,Male,1,1,1,1,0.533,18,23,0
Car/SUV,24,6,Female,1,1,0,0,0.215,8,17,0
Car/SUV,31,13,Male,1,1,0,0,0.417,23,4,2
Car/SUV,40,16,Male,1,1,0,1,0.421,2,8,0
Bus,53,6,Female,1,1,1,0,0.144,16,2,1
Tractor,42,24,Male,1,1,0,0,0.325,18,9,0
Tempo,60,9,Female,1,1,0,1,0.145,1,0,0
Tempo,34,11,Male,1,0,0,0,0.141,20,28,0
Tractor,54,24,Male,0,1,0,0,0.366,11,35,0
Bus,65,7,Female,1,1,0,1,0.09,23,9,2
Auto-Rickshaw,22,4,Male,0,0,0,1,0.215,24,11,2
Auto-Rickshaw,26,8,Male,0,1,0,1,0.111,6,35,0
Auto-Rickshaw,29,11,Male,1,0,0,0,0.095,15,24,1
Car/SUV,54,1,Female,1,0,0,0,0.477,19,35,0
E-Rickshaw,58,13,Female,0,1,1,0,0.404,9,7,1
Bus,53,8,Female,1,0,0,0,0.587,14,5,0
E-Rickshaw,39,0,Male,1,1,0,1,0.325,15,3,1
Truck/HCV,34,16,Male,1,1,0,0,0.027,4,7,1
Tractor,33,15,Male,1,1,0,0,0.214,22,2,0
E-Rickshaw,26,8,Male,1,0,0,0,0.125,21,26,0
Car/SUV,33,15,Male,1,1,1,1,0.32,4,2,0
Bus,48,30,Male,1,0,0,0,0.243,21,22,0
Car/SUV,65,30,Male,0,0,0,1,0.46,0,2,0
Bus,21,3,Male,1,1,0,1,0.159,9,12,2
Car/SUV,18,0,Male,1,0,0,1,0.304,21,8,2
Tractor,51,9,Male,0,1,0,0,0.242,3,8,1
Two-Wheeler,64,19,Female,1,1,0,0,0.339,24,13,0
Tractor,20,2,Female,0,1,0,0,0.219,0,33,1
Two-Wheeler,20,2,Male,1,0,0,1,0.196,7,3,0
E-Rickshaw,38,19,Male,1,1,0,0,0.216,6,17,0
Two-Wheeler,25,7,Female,1,1,1,0,0.21,3,15,0
Tempo,35,6,Female,1,0,0,0,0.023,17,6,0
Auto-Rickshaw,32,14,Female,1,1,0,1,0.036,4,32,0
Truck/HCV,41,3,Male,1,0,0,0,0.348,16,28,3
E-Rickshaw,21,3,Female,1,1,1,0,0.229,14,18,0
Truck/HCV,25,7,Male,1,0,0,1,0.021,21,18,0
Car/SUV,63,10,Male,0,1,0,1,0.298,22,21,0
Auto-Rickshaw,26,8,Male,1,0,0,0,0.486,4,4,0
Car/SUV,62,24,Female,1,1,1,0,0.485,18,33,0
Tractor,45,22,Male,1,1,0,0,0.156,13,19,0
Tempo,38,16,Female,1,0,0,1,0.727,0,16,1
Tractor,31,13,Male,1,0,0,1,0.172,0,29,3
Tractor,47,2,Female,0,1,0,0,0.532,19,30,0
Auto-Rickshaw,29,11,Male,1,1,1,1,0.175,10,31,1
Tempo,20,2,Male,1,0,0,1,0.142,13,9,2
Tempo,60,30,Male,1,1,0,0,0.181,19,13,0
E-Rickshaw,54,28,Male,1,0,1,0,0.591,1,26,3
Car/SUV,18,0,Male,1,0,0,0,0.119,18,5,0
Two-Wheeler,43,20,Male,0,0,0,0,0.43,14,22,0
Truck/HCV,54,2,Male,1,1,1,0,0.179,16,22,2
Tempo,22,4,Male,0,1,0,0,0.496,20,32,2
Car/SUV,49,27,Male,1,0,0,0,0.179,1,25,0
Truck/HCV,21,3,Male,0,1,0,0,0.111,6,5,1
Two-Wheeler,59,29,Male,1,1,0,1,0.518,23,3,0
E-Rickshaw,30,11,Female,1,1,0,0,0.378,0,26,1
E-Rickshaw,64,14,Male,0,1,0,0,0.17,22,7,1
Bus,33,5,Male,0,0,0,1,0.343,16,4,1
E-Rickshaw,51,19,Male,1,0,1,1,0.235,7,5,0
Tempo,55,15,Male,1,1,0,0,0.323,0,6,1
Auto-Rickshaw,25,7,Male,1,1,0,0,0.395,20,6,0
Auto-Rickshaw,64,4,Male,1,0,0,0,0.443,1,3,3
Bus,49,31,Male,0,0,0,0,0.22,0,11,0
Tempo,25,0,Male,1,1,0,1,0.549,5,24,3
Tractor,40,20,Male,1,1,0,1,0.427,6,33,1
Tempo,62,9,Male,0,0,0,0,0.327,8,33,0
Tractor,18,0,Male,1,1,0,0,0.36,3,5,1
E-Rickshaw,19,1,Female,1,1,0,1,0.306,20,35,0
Tractor,21,3,Female,1,0,0,0,0.178,23,1,2
Bus,38,20,Male,1,0,0,0,0.128,6,26,1
Auto-Rickshaw,50,15,Female,1,0,0,0,0.601,19,7,0
Tempo,45,22,Male,0,1,0,0,0.386,8,18,0
Truck/HCV,32,11,Male,0,0,0,1,0.092,19,21,1
E-Rickshaw,29,11,Male,1,0,0,0,0.438,0,36,0
Tempo,30,12,Male,1,1,0,0,0.059,3,10,0
Truck/HCV,63,28,Male,1,0,0,1,0.072,24,16,1
Auto-Rickshaw,49,16,Male,0,1,0,0,0.173,10,32,0
Two-Wheeler,20,2,Female,1,0,0,0,0.321,0,0,1
Two-Wheeler,44,26,Male,1,1,1,0,0.297,18,1,0
E-Rickshaw,52,3,Male,1,1,0,0,0.284,0,17,2
Bus,26,8,Female,1,0,0,1,0.211,3,9,0
Truck/HCV,48,29,Male,1,0,0,1,0.017,16,28,0
Bus,41,2,Female,0,0,1,0,0.153,0,34,0
Car/SUV,35,4,Male,1,1,0,0,0.457,5,35,0
Truck/HCV,42,6,Male,1,1,0,1,0.286,6,33,0
Truck/HCV,32,14,Male,1,0,0,0,0.349,2,3,0
Truck/HCV,39,20,Female,1,0,0,0,0.528,25,23,1
Two-Wheeler,33,15,Female,0,1,0,0,0.425,8,21,2
Bus,42,24,Male,1,0,0,0,0.427,24,25,3
Truck/HCV,34,16,Male,1,0,0,1,0.302,19,5,0
Tempo,62,15,Male,1,1,0,0,0.35,10,32,0
Car/SUV,63,9,Male,1,0,0,0,0.404,22,17,0
Car/SUV,28,1,Male,0,0,0,0,0.513,5,6,3
Tempo,46,25,Female,1,1,0,0,0.147,15,19,0
Truck/HCV,42,24,Male,0,0,0,0,0.181,2,32,2
Tractor,22,4,Male,1,1,0,1,0.169,11,30,2
Tempo,57,9,Male,0,1,0,0,0.464,10,20,0
Two-Wheeler,43,22,Female,0,0,0,1,0.301,13,26,1
Tractor,18,0,Male,1,1,0,0,0.159,5,25,2
E-Rickshaw,44,26,Male,1,1,0,0,0.131,16,30,2
E-Rickshaw,25,7,Female,1,1,0,0,0.429,19,15,0
Two-Wheeler,43,3,Male,0,1,0,0,0.468,23,18,1
Truck/HCV,61,8,Female,0,1,0,1,0.671,19,19,0
Bus,59,17,Male,1,0,0,1,0.27,24,28,0
E-Rickshaw,24,6,Male,1,0,0,0,0.164,23,15,0
Auto-Rickshaw,40,16,Male,0,0,0,1,0.365,17,24,0
E-Rickshaw,45,27,Male,1,0,0,1,0.192,7,19,0
Car/SUV,53,6,Male,0,0,0,1,0.529,9,29,0
E-Rickshaw,40,2,Male,1,1,0,1,0.54,17,25,0
Bus,49,30,Male,1,1,0,0,0.46,5,13,2
Auto-Rickshaw,31,9,Male,0,0,0,1,0.052,12,3,0
Tractor,55,35,Male,0,0,0,0,0.203,24,25,0
Bus,25,7,Other,1,1,0,0,0.134,6,26,0
Tempo,56,10,Male,0,1,0,0,0.243,4,4,0
Car/SUV,55,23,Female,1,1,0,0,0.378,1,11,1
Truck/HCV,47,27,Female,0,0,0,0,0.687,23,9,3
Auto-Rickshaw,60,11,Male,1,1,1,0,0.127,24,23,0
Bus,40,22,Male,1,1,0,1,0.105,13,19,0
Tractor,35,7,Male,1,1,0,0,0.05,16,6,0
Truck/HCV,57,8,Male,1,1,0,1,0.391,19,26,0
E-Rickshaw,57,14,Male,1,1,0,0,0.443,18,18,1
Car/SUV,53,12,Male,0,1,0,0,0.115,7,6,0
E-Rickshaw,64,5,Male,0,1,0,1,0.354,2,7,0
Tractor,37,8,Male,1,0,0,0,0.254,24,9,0
Tractor,57,8,Male,1,0,0,0,0.212,20,35,0
Bus,60,30,Male,1,1,0,1,0.429,2,1,0
Two-Wheeler,47,19,Male,1,0,0,0,0.456,13,36,1
