state,year,month,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,fog_hours,road_waterlogging,pothole_index,accidents_that_day
Uttar Pradesh,2024,12,3.95,18.1,90.0,12.1,1.2,0,0.22,1
Punjab,2023,3,3.29,12.5,42.6,2.0,0.0,0,0.457,22
Punjab,2023,11,20.78,16.9,30.5,45.9,0.6,0,0.453,29
Karnataka,2024,7,0.01,12.6,84.5,11.5,0.0,0,0.492,10
Assam,2019,2,9.91,34.0,72.3,14.0,6.2,0,0.077,30
Kerala,2019,11,4.44,33.9,61.5,6.7,0.6,0,0.658,5
Maharashtra,2022,1,12.34,10.8,28.1,10.5,0.8,0,0.225,37
Assam,2022,11,15.97,45.0,81.1,2.0,1.0,0,0.341,36
Punjab,2024,8,13.67,27.9,37.0,2.4,0.0,0,0.519,2
Tamil Nadu,2024,8,2.64,43.5,43.9,8.6,0.0,0,0.227,41
Tamil Nadu,2021,1,16.78,10.6,25.2,5.7,0.0,0,0.413,31
Karnataka,2022,12,2.05,15.5,36.3,9.1,1.9,0,0.684,27
Tamil Nadu,2023,3,0.02,14.4,50.1,10.2,0.0,0,0.59,22
Odisha,2024,12,4.74,42.5,51.4,30.0,1.1,0,0.701,9
Gujarat,2022,1,4.4,41.4,69.9,28.4,0.6,0,0.137,37
Assam,2019,5,0.1,32.2,39.8,18.1,0.0,0,0.48,44
Haryana,2022,1,11.29,30.3,69.7,29.2,0.5,0,0.662,17
Haryana,2019,6,6.07,20.6,39.2,28.2,0.0,0,0.29,7
Kerala,2019,2,21.21,40.8,70.1,46.6,2.2,0,0.248,27
Madhya Pradesh,2022,5,2.29,11.1,40.0,18.3,0.0,0,0.406,40
Kerala,2024,12,6.62,38.0,45.1,27.3,0.3,0,0.235,13
Odisha,2024,2,1.45,26.7,34.4,26.5,2.2,0,0.455,23
Maharashtra,2023,12,10.51,8.3,70.3,29.5,0.1,0,0.809,35
Kerala,2023,3,22.9,38.6,89.8,5.3,0.0,0,0.322,5
Uttar Pradesh,2022,8,13.53,40.1,44.5,27.7,0.0,0,0.605,14
Telangana,2024,1,34.21,34.2,49.8,30.4,0.6,1,0.333,41
Telangana,2024,6,8.13,29.0,74.2,6.9,0.0,0,0.235,33
Madhya Pradesh,2019,3,10.7,26.3,80.1,25.2,0.0,0,0.219,23
Uttar Pradesh,2020,7,29.43,36.6,74.2,6.2,0.0,1,0.213,34
Haryana,2022,9,1.8,13.3,62.9,8.2,0.0,0,0.374,8
Bihar,2023,1,17.9,18.8,45.4,9.3,0.0,0,0.328,19
Rajasthan,2020,11,4.12,29.0,71.9,20.9,2.6,0,0.343,41
Telangana,2023,1,6.49,43.5,80.5,2.5,0.4,0,0.188,32
Gujarat,2021,6,2.84,23.7,72.2,18.2,0.0,0,0.098,39
Karnataka,2024,4,4.71,32.1,51.7,1.4,0.0,0,0.293,24
Uttar Pradesh,2024,1,22.69,44.0,29.4,14.8,0.9,0,0.307,18
Tamil Nadu,2022,3,9.82,44.3,69.2,21.2,0.0,0,0.283,21
Assam,2022,9,0.68,17.2,30.2,3.4,0.0,0,0.427,9
Bihar,2019,12,2.43,21.2,93.2,12.9,0.2,0,0.106,35
Maharashtra,2022,2,1.35,25.9,85.1,19.6,0.2,0,0.054,17
Haryana,2020,2,0.37,38.6,77.3,15.6,2.8,0,0.293,14
Telangana,2023,2,8.1,35.7,26.7,25.9,1.0,0,0.169,28
Gujarat,2022,12,9.06,24.6,45.7,31.9,1.2,0,0.362,12
Karnataka,2022,9,0.11,44.6,67.2,25.4,0.0,0,0.244,24
Bihar,2020,4,4.99,34.1,84.9,21.8,0.0,0,0.164,25
Haryana,2019,4,4.46,37.6,53.0,28.4,0.0,0,0.312,39
Assam,2024,11,13.11,15.1,67.1,11.5,0.4,0,0.405,2
Haryana,2020,2,2.78,29.1,80.8,18.7,1.4,0,0.287,27
Rajasthan,2021,10,21.37,41.7,39.6,15.6,0.0,0,0.49,29
Kerala,2022,4,23.55,33.5,87.6,18.3,0.0,0,0.421,8
Madhya Pradesh,2023,4,1.86,17.9,88.2,18.5,0.0,0,0.4,27
Madhya Pradesh,2024,8,14.58,25.4,88.7,19.7,0.0,0,0.246,43
Madhya Pradesh,2020,4,18.82,34.9,81.3,0.3,0.0,0,0.495,25
Karnataka,2022,9,5.09,24.8,95.3,9.7,0.0,0,0.421,40
Gujarat,2019,6,0.21,21.3,95.2,24.5,0.0,0,0.506,28
Assam,2024,11,9.06,38.9,81.5,19.8,1.8,0,0.247,24
Bihar,2021,11,3.51,13.4,83.9,24.1,0.5,0,0.112,23
Punjab,2023,9,8.65,15.6,37.5,7.9,0.0,0,0.185,44
Telangana,2024,2,0.42,28.0,68.1,20.0,1.8,0,0.159,43
Telangana,2023,12,4.45,29.0,20.7,37.4,4.5,0,0.496,29
Gujarat,2021,11,5.15,13.9,26.6,9.8,1.4,0,0.128,7
West Bengal,2020,4,5.38,43.2,22.3,13.9,0.0,0,0.287,30
Gujarat,2020,6,16.05,45.1,83.5,5.9,0.0,0,0.368,28
Maharashtra,2024,8,11.0,40.7,64.8,22.5,0.0,0,0.164,32
Bihar,2022,3,20.18,16.8,97.2,9.6,0.0,0,0.424,5
Rajasthan,2022,6,1.42,26.7,65.5,13.9,0.0,0,0.362,22
Maharashtra,2020,3,7.98,12.3,29.7,25.4,0.0,0,0.229,21
Odisha,2019,9,5.22,32.8,21.0,22.9,0.0,0,0.316,19
Punjab,2023,1,9.51,28.8,93.1,21.7,4.2,0,0.587,22
Bihar,2021,1,1.63,26.6,29.3,19.9,1.2,0,0.148,9
Uttar Pradesh,2023,3,28.21,9.4,48.0,10.5,0.0,1,0.552,18
Assam,2023,6,8.52,27.3,34.9,19.8,0.0,0,0.377,28
Kerala,2019,12,2.95,44.8,88.5,20.9,3.3,0,0.093,13
Uttar Pradesh,2019,12,6.36,36.9,29.0,15.0,1.1,0,0.223,24
Rajasthan,2022,8,29.76,20.5,65.1,18.1,0.0,1,0.429,45
Odisha,2023,10,20.35,30.6,28.1,23.1,0.0,0,0.307,41
Maharashtra,2020,8,5.5,22.7,56.4,6.0,0.0,0,0.596,19
Kerala,2023,1,7.57,9.8,69.7,5.5,0.9,0,0.163,16
Madhya Pradesh,2020,4,12.5,9.0,87.2,19.4,0.0,0,0.129,10
Gujarat,2024,8,20.45,27.7,96.2,0.4,0.0,0,0.413,6
Maharashtra,2019,1,2.35,36.5,39.2,9.0,0.6,0,0.54,13
Tamil Nadu,2022,11,9.92,32.9,54.8,32.6,3.3,0,0.109,19
Uttar Pradesh,2020,4,30.09,37.5,34.5,26.8,0.0,1,0.555,12
Madhya Pradesh,2019,7,10.99,43.3,63.0,5.2,0.0,0,0.327,2
Assam,2024,11,19.66,15.8,35.3,34.0,0.9,0,0.177,9
West Bengal,2022,4,12.54,34.6,57.7,14.0,0.0,0,0.492,15
Karnataka,2023,6,1.4,10.6,87.1,19.7,0.0,0,0.275,12
Punjab,2024,5,0.74,31.5,90.4,10.3,0.0,0,0.106,6
Telangana,2023,1,20.8,10.1,44.8,17.1,0.9,0,0.363,0
Odisha,2019,2,14.43,8.8,57.8,1.1,1.2,0,0.306,40
Kerala,2024,10,0.44,14.0,88.2,12.9,0.0,0,0.485,3
Maharashtra,2022,10,9.13,27.4,20.0,6.0,0.0,0,0.219,37
Odisha,2023,6,8.89,42.7,56.6,23.4,0.0,0,0.151,36
Punjab,2022,6,9.18,8.3,88.4,30.9,0.0,0,0.263,45
Maharashtra,2023,4,13.52,20.8,61.1,5.9,0.0,0,0.239,34
West Bengal,2019,10,6.29,37.4,73.9,18.3,0.0,0,0.267,3
Haryana,2019,5,7.27,16.1,32.6,20.4,0.0,0,0.663,32
Assam,2020,11,9.99,19.3,95.7,10.6,4.5,0,0.184,21
Rajasthan,2019,9,0.94,11.8,20.9,27.5,0.0,0,0.093,14
West Bengal,2021,1,5.81,11.4,90.2,24.7,1.2,0,0.185,26
Tamil Nadu,2019,3,11.69,18.0,61.2,2.9,0.0,0,0.213,0
Telangana,2020,7,2.03,42.1,80.3,11.7,0.0,0,0.261,41
Punjab,2023,9,9.8,13.8,38.9,28.9,0.0,0,0.515,25
Tamil Nadu,2022,10,11.67,40.3,31.9,23.1,0.0,0,0.179,14
Odisha,2019,6,25.72,44.1,41.1,10.8,0.0,1,0.22,25
Maharashtra,2019,7,6.95,11.6,56.3,20.2,0.0,0,0.216,39
Uttar Pradesh,2024,7,3.12,8.9,24.4,21.1,0.0,0,0.353,43
Telangana,2024,8,18.28,24.0,38.8,30.1,0.0,0,0.384,43
Rajasthan,2020,3,11.56,32.6,83.9,25.7,0.0,0,0.196,3
Assam,2024,2,29.1,19.4,35.4,3.9,0.5,1,0.422,23
Gujarat,2019,4,10.19,12.7,89.1,15.5,0.0,0,0.186,35
Rajasthan,2021,7,2.45,14.2,29.8,32.3,0.0,0,0.212,16
Gujarat,2021,12,4.58,21.1,36.4,6.2,1.2,0,0.785,20
Haryana,2023,3,6.46,25.7,70.8,12.1,0.0,0,0.572,10
Maharashtra,2021,11,2.45,27.2,61.9,15.1,1.6,0,0.217,4
Karnataka,2019,11,0.52,45.4,24.4,11.3,1.0,0,0.19,21
Haryana,2024,5,8.8,29.1,42.2,8.3,0.0,0,0.777,26
Uttar Pradesh,2023,9,32.86,21.2,93.0,16.2,0.0,1,0.547,24
West Bengal,2021,8,16.57,35.8,23.9,14.3,0.0,0,0.277,40
Punjab,2023,6,20.12,34.9,32.2,24.3,0.0,0,0.201,23
Telangana,2024,12,12.75,40.7,44.2,23.3,1.3,0,0.384,8
Bihar,2024,4,0.49,17.9,33.1,13.0,0.0,0,0.235,31
Tamil Nadu,2020,1,7.19,11.8,21.1,24.0,1.0,0,0.1,18
Maharashtra,2022,6,10.4,19.0,70.4,23.8,0.0,0,0.5,32
Gujarat,2021,10,3.08,33.7,49.8,23.6,0.0,0,0.343,42
Uttar Pradesh,2020,5,7.66,27.8,27.7,27.2,0.0,0,0.144,2
Bihar,2024,1,2.49,30.8,55.5,9.8,1.2,0,0.426,34
Gujarat,2020,6,1.9,16.2,24.2,25.6,0.0,0,0.509,25
Karnataka,2021,12,2.42,21.8,45.2,17.4,3.8,0,0.286,6
Kerala,2020,12,7.13,10.2,83.5,27.3,0.4,0,0.314,33
Karnataka,2024,1,1.03,12.7,77.9,17.5,0.7,0,0.354,18
Haryana,2024,2,7.35,23.2,28.5,30.5,1.4,0,0.574,34
West Bengal,2022,10,10.59,23.9,91.2,0.5,0.0,0,0.118,37
Rajasthan,2024,9,18.32,41.4,63.9,19.3,0.0,0,0.323,33
Odisha,2021,6,9.23,14.2,33.8,8.3,0.0,0,0.29,17
Rajasthan,2021,4,2.1,13.2,29.7,2.8,0.0,0,0.35,33
Gujarat,2024,1,0.51,27.5,91.2,15.2,2.6,0,0.473,21
West Bengal,2023,2,1.95,42.3,83.6,26.0,1.1,0,0.41,31
Maharashtra,2023,5,12.38,41.1,85.1,29.9,0.0,0,0.211,7
Gujarat,2021,8,18.44,14.5,41.1,11.6,0.0,0,0.345,36
Haryana,2024,10,1.4,25.4,31.1,21.3,0.0,0,0.458,13
Assam,2022,5,12.54,27.2,82.5,8.8,0.0,0,0.243,38
Madhya Pradesh,2022,7,7.98,15.1,96.4,19.5,0.0,0,0.405,15
Gujarat,2021,8,0.81,21.8,66.3,7.3,0.0,0,0.545,21
Haryana,2024,8,10.18,8.5,91.5,11.3,0.0,0,0.565,34
Uttar Pradesh,2023,11,12.55,20.0,82.3,41.4,0.0,0,0.452,29
Karnataka,2024,1,18.24,9.4,93.3,27.2,0.4,0,0.491,5
Assam,2022,11,0.32,45.7,40.2,50.3,0.0,0,0.355,28
Assam,2020,1,1.47,17.1,45.1,16.8,0.2,0,0.528,20
Rajasthan,2021,11,21.35,24.2,96.2,24.6,6.8,0,0.622,18
Bihar,2023,8,1.03,10.8,79.4,13.2,0.0,0,0.418,38
Odisha,2024,4,7.01,44.6,28.6,28.2,0.0,0,0.213,32
Assam,2023,8,5.4,17.8,84.0,35.6,0.0,0,0.375,6
Bihar,2019,6,4.51,34.4,24.7,14.2,0.0,0,0.306,26
Karnataka,2021,10,5.75,33.1,46.8,20.0,0.0,0,0.363,26
Punjab,2020,2,6.35,39.8,70.9,21.4,0.4,0,0.214,34
Punjab,2022,1,6.37,38.1,30.1,24.7,5.2,0,0.139,18
Uttar Pradesh,2024,2,6.78,11.9,65.2,3.8,4.5,0,0.203,23
Madhya Pradesh,2021,11,2.53,24.5,20.4,4.9,0.1,0,0.882,3
Haryana,2024,7,9.87,43.3,47.6,21.0,0.0,0,0.587,16
Uttar Pradesh,2020,8,9.66,12.7,66.5,33.1,0.0,0,0.156,28
Karnataka,2020,12,15.02,33.7,80.7,27.9,0.8,0,0.388,37
Madhya Pradesh,2023,3,20.59,11.3,22.8,17.5,0.0,0,0.396,29
Uttar Pradesh,2022,10,0.87,36.8,70.3,24.2,0.0,0,0.246,38
Bihar,2021,11,10.58,13.0,52.0,21.4,0.3,0,0.441,22
Rajasthan,2022,12,12.89,31.1,23.0,16.1,0.4,0,0.317,1
Bihar,2022,1,5.06,23.6,44.4,24.3,1.6,0,0.269,17
Bihar,2019,8,1.05,39.2,67.0,28.3,0.0,0,0.279,44
Madhya Pradesh,2019,7,13.79,42.2,90.7,31.8,0.0,0,0.196,32
Maharashtra,2023,9,0.32,42.1,53.2,15.2,0.0,0,0.202,8
Rajasthan,2020,8,5.21,15.0,35.1,22.0,0.0,0,0.205,5
Telangana,2021,2,12.81,12.7,91.5,17.0,0.8,0,0.088,5
Uttar Pradesh,2021,5,0.25,41.4,54.4,16.3,0.0,0,0.269,4
Punjab,2021,5,8.89,32.9,78.1,0.1,0.0,0,0.448,2
Rajasthan,2019,3,16.49,20.2,69.6,1.2,0.0,0,0.39,12
Haryana,2021,2,15.43,18.8,66.0,1.8,1.4,0,0.361,21
Assam,2019,4,11.81,38.4,61.6,27.6,0.0,0,0.236,40
Karnataka,2019,6,5.96,36.1,32.0,20.4,0.0,0,0.458,2
Uttar Pradesh,2022,7,8.35,17.8,83.7,28.3,0.0,0,0.353,42
Gujarat,2023,12,8.56,44.8,45.4,27.6,2.0,0,0.07,11
Maharashtra,2024,5,14.57,9.9,41.5,3.4,0.0,0,0.197,42
Madhya Pradesh,2022,5,10.63,12.6,78.3,26.7,0.0,0,0.269,13
Haryana,2024,11,6.97,26.2,57.1,26.8,0.9,0,0.166,14
Bihar,2023,1,4.09,25.3,73.7,11.1,0.7,0,0.198,34
Haryana,2021,7,3.62,30.4,42.3,39.0,0.0,0,0.452,39
Punjab,2023,4,8.64,22.0,43.9,13.7,0.0,0,0.202,34
Kerala,2021,8,2.8,32.4,26.7,46.8,0.0,0,0.65,4
Haryana,2024,9,5.79,44.8,83.1,7.6,0.0,0,0.541,19
West Bengal,2019,9,8.82,38.3,62.7,26.5,0.0,0,0.371,16
Rajasthan,2024,9,3.22,13.9,69.3,37.9,0.0,0,0.173,37
West Bengal,2020,7,21.48,33.2,96.0,27.9,0.0,0,0.506,42
Bihar,2023,10,7.33,14.0,58.3,22.6,0.0,0,0.267,37
Rajasthan,2023,2,29.83,34.2,72.0,11.8,0.5,1,0.596,43
Telangana,2022,10,14.99,11.2,28.8,27.6,0.0,0,0.715,40
Maharashtra,2021,1,12.81,36.1,39.4,29.3,2.2,0,0.187,44
Madhya Pradesh,2020,7,5.19,11.4,85.1,19.8,0.0,0,0.218,11
Maharashtra,2021,5,3.34,19.7,57.5,6.2,0.0,0,0.211,23
Assam,2023,9,8.37,17.8,22.3,19.6,0.0,0,0.169,2
Telangana,2023,3,8.32,11.3,48.0,29.2,0.0,0,0.422,42
Haryana,2024,4,0.77,36.4,57.1,41.5,0.0,0,0.335,2
Kerala,2020,9,1.18,13.5,34.8,28.0,0.0,0,0.046,7
Rajasthan,2021,8,3.07,24.1,50.3,23.6,0.0,0,0.076,19
Tamil Nadu,2019,8,0.28,35.0,71.5,1.9,0.0,0,0.412,36
Punjab,2023,7,1.6,44.4,79.9,19.4,0.0,0,0.35,24
Uttar Pradesh,2022,10,3.46,24.5,48.9,48.8,0.0,0,0.259,29
Gujarat,2023,8,7.35,8.6,69.5,21.5,0.0,0,0.378,31
Rajasthan,2020,7,1.09,9.8,63.0,0.7,0.0,0,0.267,21
Odisha,2024,4,13.92,20.5,40.9,14.0,0.0,0,0.502,17
Tamil Nadu,2024,5,12.15,10.9,74.8,23.5,0.0,0,0.395,6
Tamil Nadu,2020,8,9.95,44.4,60.8,1.3,0.0,0,0.253,16
Bihar,2022,3,19.27,35.2,41.1,34.0,0.0,0,0.135,12
Odisha,2021,6,2.26,36.4,72.8,36.8,0.0,0,0.331,8
Tamil Nadu,2021,1,23.42,40.1,48.5,21.9,1.6,0,0.288,16
Odisha,2019,10,4.33,8.5,28.6,4.6,0.0,0,0.217,34
Bihar,2019,8,5.14,44.9,39.6,9.5,0.0,0,0.12,8
Gujarat,2020,9,4.62,34.1,72.5,7.8,0.0,0,0.301,27
Odisha,2023,10,7.01,18.3,21.0,29.2,0.0,0,0.338,3
Bihar,2023,9,9.23,32.8,25.2,4.0,0.0,0,0.107,33
Uttar Pradesh,2019,8,3.67,22.3,77.9,37.2,0.0,0,0.33,38
Odisha,2023,6,0.26,32.4,42.8,7.4,0.0,0,0.226,36
Telangana,2024,8,5.48,31.9,61.1,39.2,0.0,0,0.417,3
Kerala,2023,6,12.86,23.6,40.3,9.7,0.0,0,0.527,33
Haryana,2019,10,15.33,25.8,70.9,19.5,0.0,0,0.312,45
Tamil Nadu,2020,5,19.64,21.5,85.2,32.3,0.0,0,0.219,30
Karnataka,2019,9,7.22,32.6,48.3,13.0,0.0,0,0.314,17
Rajasthan,2022,5,9.89,23.8,31.4,18.2,0.0,0,0.296,3
Assam,2019,4,3.63,10.1,52.8,11.4,0.0,0,0.232,32
Assam,2019,9,3.62,11.2,82.3,11.6,0.0,0,0.082,30
Madhya Pradesh,2021,10,13.24,32.1,32.2,11.1,0.0,0,0.259,3
Assam,2019,1,2.5,8.1,77.6,26.2,0.1,0,0.139,0
Tamil Nadu,2019,5,6.28,12.5,76.5,17.8,0.0,0,0.361,19
West Bengal,2020,2,0.01,45.5,23.9,25.3,1.3,0,0.193,11
Assam,2022,5,11.05,27.5,33.1,1.0,0.0,0,0.399,31
Tamil Nadu,2023,8,4.82,45.7,51.5,32.2,0.0,0,0.363,29
Kerala,2022,4,1.47,27.7,69.9,19.4,0.0,0,0.217,35
Tamil Nadu,2023,7,5.71,10.8,59.5,17.5,0.0,0,0.054,23
Kerala,2022,12,5.95,30.1,26.8,11.0,1.0,0,0.238,30
Odisha,2019,2,1.09,36.2,79.8,31.7,1.5,0,0.067,13
Haryana,2022,8,4.45,12.3,95.5,23.9,0.0,0,0.178,45
Tamil Nadu,2022,1,2.29,10.0,24.7,5.1,3.4,0,0.527,27
Rajasthan,2019,5,3.2,36.7,60.8,20.6,0.0,0,0.086,15
Karnataka,2024,11,42.52,12.0,22.8,19.0,0.6,1,0.405,15
Rajasthan,2022,7,9.83,27.8,36.8,48.5,0.0,0,0.344,33
Punjab,2021,6,0.51,26.6,71.3,23.2,0.0,0,0.451,45
Assam,2019,1,6.72,27.9,35.6,17.1,3.4,0,0.471,38
Maharashtra,2024,11,11.68,43.6,85.1,2.3,0.0,0,0.244,44
Kerala,2023,1,12.5,28.5,60.1,7.8,1.3,0,0.262,34
Madhya Pradesh,2023,8,20.98,9.4,92.9,27.2,0.0,0,0.666,7
Kerala,2020,5,0.82,17.0,67.3,16.7,0.0,0,0.388,0
Tamil Nadu,2019,4,3.12,26.6,33.5,32.6,0.0,0,0.501,10
Tamil Nadu,2020,12,37.34,22.3,40.9,11.2,1.7,1,0.503,31
Maharashtra,2019,8,1.03,22.5,39.6,27.2,0.0,0,0.409,2
Assam,2019,1,18.1,29.9,49.3,14.6,0.6,0,0.298,13
Odisha,2022,6,19.43,10.7,30.6,11.3,0.0,0,0.235,33
Haryana,2024,4,2.46,40.5,71.1,24.0,0.0,0,0.221,10
Assam,2023,11,2.36,42.0,26.2,4.6,0.6,0,0.236,15
Telangana,2022,9,13.76,25.1,63.6,5.2,0.0,0,0.64,5
Kerala,2024,2,4.18,36.3,36.8,14.8,1.7,0,0.095,0
Bihar,2020,11,7.1,10.1,95.8,46.3,3.8,0,0.239,25
Haryana,2020,5,6.08,27.5,54.2,18.0,0.0,0,0.453,20
Rajasthan,2022,10,16.73,29.8,83.9,31.9,0.0,0,0.336,4
Assam,2023,5,1.25,34.7,31.8,9.1,0.0,0,0.188,45
Telangana,2023,8,2.25,37.2,81.2,6.1,0.0,0,0.096,1
Assam,2021,5,2.25,21.5,66.9,22.9,0.0,0,0.272,42
Haryana,2020,5,5.25,34.9,94.1,19.8,0.0,0,0.429,36
Telangana,2024,1,8.6,40.8,87.0,26.4,2.8,0,0.27,6
Haryana,2024,10,3.47,26.6,35.6,17.1,0.0,0,0.186,45
West Bengal,2021,3,2.76,10.9,39.5,31.2,0.0,0,0.129,10
Madhya Pradesh,2019,4,1.56,19.4,55.1,13.8,0.0,0,0.268,18
Uttar Pradesh,2022,1,2.96,33.4,62.7,16.8,4.8,0,0.321,25
West Bengal,2019,1,1.45,45.8,49.6,17.3,1.1,0,0.164,16
Punjab,2023,6,2.36,35.3,30.7,16.3,0.0,0,0.278,43
Punjab,2022,7,9.43,27.9,33.6,26.6,0.0,0,0.501,34
Gujarat,2021,9,1.73,24.5,53.4,25.0,0.0,0,0.155,5
Odisha,2023,6,16.44,35.5,28.4,25.9,0.0,0,0.496,20
Kerala,2021,9,3.21,28.2,95.6,3.8,0.0,0,0.444,8
Kerala,2024,11,5.78,16.7,54.7,5.7,0.0,0,0.285,31
Telangana,2023,11,9.7,21.0,27.9,26.3,1.0,0,0.502,21
Tamil Nadu,2023,3,20.46,17.7,96.8,32.9,0.0,0,0.477,44
Karnataka,2021,11,4.32,11.5,21.7,20.6,1.1,0,0.16,16
West Bengal,2022,5,5.15,44.1,46.9,19.8,0.0,0,0.096,37
Rajasthan,2022,8,3.68,23.6,78.0,13.7,0.0,0,0.406,30
Haryana,2021,3,8.48,17.1,38.9,2.4,0.0,0,0.368,30
West Bengal,2024,10,18.87,41.6,72.2,30.5,0.0,0,0.449,23
Madhya Pradesh,2020,9,12.9,22.3,46.8,18.1,0.0,0,0.337,38
Bihar,2022,11,13.4,29.4,36.9,15.3,1.0,0,0.276,16
Madhya Pradesh,2024,8,13.22,16.2,51.2,14.1,0.0,0,0.236,34
Gujarat,2019,4,0.21,29.3,67.5,6.8,0.0,0,0.583,6
Tamil Nadu,2020,1,6.59,17.8,23.8,20.2,4.6,0,0.512,35
Tamil Nadu,2022,1,0.93,12.1,48.3,3.4,0.3,0,0.174,33
Uttar Pradesh,2021,6,8.72,45.6,67.8,30.7,0.0,0,0.351,40
Karnataka,2019,6,2.06,41.7,74.2,16.3,0.0,0,0.319,41
Kerala,2022,9,4.27,32.2,24.9,27.7,0.0,0,0.063,42
Punjab,2019,2,1.11,14.0,58.9,15.4,0.6,0,0.487,30
West Bengal,2021,5,5.49,26.3,36.3,13.8,0.0,0,0.538,0
Bihar,2020,5,15.81,30.9,39.2,6.6,0.0,0,0.504,42
Rajasthan,2021,3,13.42,19.4,53.4,29.8,0.0,0,0.279,9
Bihar,2024,9,13.39,40.9,85.8,11.9,0.0,0,0.481,41
