city,road_type,primary_cause,severity,year,month,hour,vehicles_involved,injuries,fatalities,speed_kmh,visibility_m,road_lighting,road_divider,ambulance_response_min
Amritsar,City Ring Road,Signal Jumping,Property Damage Only,2023,10,18,1,0,0,60.9,144,Non-Functional,Present,29.9
Pune,Urban Arterial,Signal Jumping,Property Damage Only,2020,3,4,3,1,0,33.3,742,Functional,Present,24.6
Nagpur,Industrial Zone,Signal Jumping,Minor Injury,2018,5,16,3,2,0,39.2,889,Absent,Present,30.8
Kochi,State Highway,Over-speeding,Minor Injury,2024,2,8,4,3,0,83.1,151,Absent,Absent,31.2
Bhopal,Coastal Road,Rain/Wet Road,Property Damage Only,2020,9,8,2,3,0,85.8,310,Functional,Present,24.7
Jaipur,Coastal Road,Fog/Low Visibility,Minor Injury,2022,9,2,2,4,0,34.5,465,Non-Functional,Absent,22.0
Meerut,Industrial Zone,Driver Fatigue,Minor Injury,2018,7,2,4,3,0,72.9,129,Functional,Present,21.8
Hyderabad,City Ring Road,Rain/Wet Road,Grievous Injury,2019,12,8,3,1,0,52.7,866,Non-Functional,Absent,19.3
Hyderabad,State Highway,Wrong-Side Driving,Fatal,2024,4,9,4,2,0,62.8,473,Non-Functional,Present,9.8
Nashik,City Ring Road,Wrong-Side Driving,Fatal,2023,6,22,2,6,1,68.6,850,Non-Functional,Absent,22.4
Allahabad,Hill Road,Poor Road Condition,Minor Injury,2022,3,23,3,0,0,52.4,36,Non-Functional,Present,23.3
Jaipur,Industrial Zone,Over-speeding,Fatal,2020,11,17,3,6,2,78.3,197,Non-Functional,Absent,9.9
Pune,Coastal Road,Rain/Wet Road,Fatal,2020,7,6,2,0,1,84.4,663,Functional,Present,26.1
Ghaziabad,Village Road,Driver Fatigue,Minor Injury,2021,5,3,2,6,0,75.1,380,Functional,Present,26.0
Pune,Urban Arterial,Wrong-Side Driving,Grievous Injury,2022,4,18,1,4,0,69.3,700,Absent,Absent,18.0
Kochi,Industrial Zone,Overloaded Vehicle,Fatal,2023,3,9,1,4,2,40.3,165,Functional,Absent,22.1
Jaipur,Expressway,Rain/Wet Road,Minor Injury,2021,2,11,1,3,0,57.7,253,Functional,Present,12.5
Visakhapatnam,City Ring Road,Pedestrian Jaywalking,Minor Injury,2018,3,14,1,2,0,90.2,594,Absent,Absent,24.7
Nashik,Coastal Road,Over-speeding,Fatal,2024,4,23,1,3,1,48.8,678,Non-Functional,Absent,5.4
Mumbai,City Ring Road,Brake Failure,Fatal,2019,3,20,4,1,1,38.2,901,Absent,Absent,21.9
Coimbatore,Urban Arterial,Pedestrian Jaywalking,Property Damage Only,2024,1,9,1,5,0,49.8,53,Non-Functional,Absent,7.5
Faridabad,Hill Road,Pedestrian Jaywalking,Fatal,2022,6,22,2,5,0,60.3,826,Functional,Absent,16.7
Indore,Industrial Zone,Tyre Burst,Grievous Injury,2022,5,15,1,3,0,46.9,744,Functional,Absent,8.0
Visakhapatnam,Hill Road,Over-speeding,Minor Injury,2024,1,22,3,1,0,61.7,197,Absent,Absent,9.4
Delhi,National Highway,Animal on Road,Property Damage Only,2020,5,10,4,2,0,50.7,430,Functional,Present,27.3
Kanpur,Urban Arterial,Poor Road Condition,Minor Injury,2021,5,23,4,5,0,79.9,346,Non-Functional,Present,17.0
Lucknow,Urban Arterial,Animal on Road,Grievous Injury,2023,10,4,4,1,0,10.0,532,Functional,Absent,24.0
Meerut,Industrial Zone,Animal on Road,Grievous Injury,2019,12,2,1,1,0,36.4,663,Non-Functional,Absent,6.9
Ghaziabad,National Highway,Fog/Low Visibility,Minor Injury,2019,6,2,2,0,0,69.8,762,Functional,Absent,4.0
Ghaziabad,City Ring Road,Brake Failure,Property Damage Only,2021,6,16,1,1,0,69.2,688,Non-Functional,Absent,25.2
Allahabad,Village Road,Rain/Wet Road,Minor Injury,2019,10,4,4,4,0,65.1,403,Non-Functional,Present,19.7
Guwahati,Hill Road,Pothole,Grievous Injury,2023,9,15,3,4,0,52.8,477,Non-Functional,Absent,14.1
Guwahati,Urban Arterial,Overloaded Vehicle,Property Damage Only,2021,4,3,3,3,0,33.4,31,Functional,Absent,36.9
Agra,Urban Arterial,Brake Failure,Grievous Injury,2024,2,17,4,4,0,46.1,972,Non-Functional,Absent,10.6
Ahmedabad,National Highway,Driver Fatigue,Minor Injury,2019,4,8,1,2,0,53.1,742,Absent,Absent,22.6
Indore,Urban Arterial,Fog/Low Visibility,Grievous Injury,2022,4,6,1,1,0,75.4,492,Functional,Present,16.2
Faridabad,Village Road,Overloaded Vehicle,Property Damage Only,2019,5,0,4,0,0,51.2,191,Non-Functional,Present,11.6
Bhopal,Industrial Zone,Overloaded Vehicle,Minor Injury,2024,6,10,2,5,0,49.9,712,Functional,Absent,24.9
Guwahati,Hill Road,Over-speeding,Minor Injury,2020,9,19,1,2,0,53.8,130,Absent,Present,15.1
Allahabad,Village Road,Brake Failure,Property Damage Only,2023,1,5,3,2,0,58.4,394,Non-Functional,Absent,11.7
Agra,Expressway,Signal Jumping,Grievous Injury,2024,4,21,3,6,0,11.9,953,Absent,Present,14.1
Guwahati,State Highway,Pedestrian Jaywalking,Fatal,2019,2,11,4,6,2,10.0,246,Absent,Present,15.9
Jaipur,Coastal Road,Rain/Wet Road,Property Damage Only,2021,3,20,1,6,0,63.2,369,Functional,Present,25.9
Chandigarh,National Highway,Poor Road Condition,Property Damage Only,2022,11,0,1,1,0,65.6,53,Functional,Present,18.3
Lucknow,Urban Arterial,Poor Road Condition,Grievous Injury,2020,10,8,2,2,0,34.5,968,Functional,Present,9.2
Allahabad,State Highway,Mobile Phone Use,Minor Injury,2024,9,5,1,5,0,50.8,625,Non-Functional,Present,11.1
Ghaziabad,Village Road,Poor Road Condition,Property Damage Only,2024,4,6,4,6,0,35.8,541,Functional,Absent,18.4
Indore,Hill Road,Fog/Low Visibility,Property Damage Only,2020,9,1,2,6,0,38.0,368,Absent,Absent,4.0
Bhopal,State Highway,Animal on Road,Minor Injury,2018,3,1,2,2,0,50.6,902,Absent,Present,10.4
Hyderabad,National Highway,Over-speeding,Grievous Injury,2018,2,2,1,0,0,65.4,760,Absent,Present,28.4
Faridabad,Village Road,Poor Road Condition,Minor Injury,2022,1,13,2,3,0,70.2,220,Non-Functional,Present,21.5
Kolkata,Village Road,Poor Road Condition,Minor Injury,2023,5,19,1,5,0,82.3,241,Non-Functional,Present,10.2
Agra,City Ring Road,Driver Fatigue,Minor Injury,2020,9,13,2,0,0,43.5,54,Functional,Absent,19.5
Nagpur,City Ring Road,Poor Road Condition,Grievous Injury,2021,2,18,3,0,0,47.1,822,Functional,Absent,19.2
Delhi,Hill Road,Tyre Burst,Minor Injury,2022,5,23,3,4,0,47.4,471,Functional,Absent,15.9
Jodhpur,Coastal Road,Wrong-Side Driving,Property Damage Only,2024,8,7,1,1,0,46.5,89,Absent,Absent,24.0
Kanpur,City Ring Road,Overloaded Vehicle,Property Damage Only,2019,9,18,4,6,0,51.3,695,Functional,Present,7.5
Ghaziabad,National Highway,Tyre Burst,Grievous Injury,2022,1,2,2,6,0,52.6,541,Non-Functional,Present,13.1
Lucknow,Hill Road,Wrong-Side Driving,Minor Injury,2021,3,10,3,5,0,83.9,268,Functional,Present,20.9
Patna,Coastal Road,Driver Fatigue,Fatal,2024,8,22,2,3,2,80.4,683,Functional,Absent,18.9
Nagpur,City Ring Road,Overloaded Vehicle,Minor Injury,2024,1,16,4,2,0,73.4,38,Absent,Present,24.1
Ghaziabad,National Highway,Driver Fatigue,Minor Injury,2022,2,4,4,6,0,66.2,545,Absent,Absent,4.1
Faridabad,City Ring Road,Poor Road Condition,Property Damage Only,2024,9,3,4,0,0,59.0,640,Absent,Present,28.9
Raipur,Industrial Zone,Pedestrian Jaywalking,Minor Injury,2022,12,15,1,4,0,55.3,105,Functional,Absent,27.4
Faridabad,City Ring Road,Wrong-Side Driving,Grievous Injury,2023,11,0,1,6,0,45.4,185,Non-Functional,Absent,15.5
Bhopal,City Ring Road,Driver Fatigue,Minor Injury,2018,5,6,4,6,0,68.8,705,Functional,Present,6.7
Chennai,National Highway,Fog/Low Visibility,Minor Injury,2018,7,5,4,5,0,88.5,658,Functional,Absent,15.8
Visakhapatnam,State Highway,Drunk Driving,Property Damage Only,2024,6,15,2,1,0,81.3,867,Non-Functional,Present,13.2
Rajkot,City Ring Road,Animal on Road,Grievous Injury,2019,9,23,3,4,0,70.0,462,Absent,Absent,14.7
Kanpur,Hill Road,Poor Road Condition,Minor Injury,2019,7,14,4,2,0,24.2,923,Functional,Present,14.6
Kolkata,Coastal Road,Over-speeding,Grievous Injury,2022,11,17,1,3,0,52.7,714,Absent,Absent,21.8
Bhopal,State Highway,Pothole,Minor Injury,2023,7,15,1,1,0,39.2,250,Functional,Absent,22.2
Ghaziabad,National Highway,Poor Road Condition,Minor Injury,2020,7,20,3,5,0,49.8,85,Non-Functional,Absent,4.0
Guwahati,Urban Arterial,Pedestrian Jaywalking,Grievous Injury,2022,7,23,2,0,0,74.7,937,Functional,Present,26.6
Kochi,Village Road,Drunk Driving,Grievous Injury,2020,8,11,4,6,0,47.9,712,Non-Functional,Absent,16.5
Delhi,State Highway,Mobile Phone Use,Property Damage Only,2022,9,1,3,4,0,44.5,859,Functional,Present,21.0
Bengaluru,Hill Road,Poor Road Condition,Grievous Injury,2020,11,12,3,0,0,43.2,217,Non-Functional,Absent,24.7
Rajkot,Urban Arterial,Fog/Low Visibility,Minor Injury,2018,8,16,2,1,0,52.1,187,Non-Functional,Absent,7.6
Ahmedabad,Hill Road,Animal on Road,Fatal,2023,10,23,2,0,1,68.7,421,Functional,Present,21.8
Jaipur,National Highway,Over-speeding,Grievous Injury,2020,8,6,4,3,0,18.0,600,Absent,Present,19.5
Mysuru,Hill Road,Overloaded Vehicle,Minor Injury,2023,1,21,3,1,0,66.2,681,Absent,Present,17.3
Mumbai,National Highway,Signal Jumping,Minor Injury,2020,9,13,4,5,0,45.4,932,Absent,Absent,27.8
Kolkata,Village Road,Driver Fatigue,Minor Injury,2022,3,3,1,4,0,41.8,380,Functional,Present,31.9
Coimbatore,Expressway,Poor Road Condition,Minor Injury,2019,11,1,3,0,0,40.6,564,Functional,Absent,25.5
Mysuru,State Highway,Rain/Wet Road,Minor Injury,2024,8,7,2,5,0,91.1,159,Absent,Present,7.7
Pune,Village Road,Animal on Road,Grievous Injury,2024,7,2,2,6,0,64.6,623,Non-Functional,Absent,12.2
Nashik,Coastal Road,Driver Fatigue,Grievous Injury,2024,8,20,1,4,0,71.0,34,Functional,Present,29.5
Patna,Village Road,Animal on Road,Minor Injury,2019,10,20,4,5,0,90.5,476,Functional,Absent,26.2
Meerut,Expressway,Mobile Phone Use,Minor Injury,2024,2,0,1,2,0,48.4,423,Functional,Present,23.8
Visakhapatnam,State Highway,Overloaded Vehicle,Fatal,2018,2,10,3,4,1,107.7,205,Functional,Absent,28.1
Nagpur,City Ring Road,Over-speeding,Minor Injury,2023,1,10,1,3,0,99.7,478,Functional,Present,27.3
Patna,Industrial Zone,Fog/Low Visibility,Minor Injury,2022,5,21,2,6,0,31.5,129,Functional,Present,16.0
Hyderabad,State Highway,Driver Fatigue,Minor Injury,2018,11,12,2,1,0,69.6,573,Non-Functional,Present,10.7
Varanasi,Village Road,Pothole,Property Damage Only,2021,3,8,4,1,0,69.3,478,Functional,Absent,4.0
Surat,Village Road,Pothole,Property Damage Only,2024,10,19,2,5,0,54.1,518,Non-Functional,Absent,22.9
Faridabad,City Ring Road,Driver Fatigue,Minor Injury,2022,7,21,3,3,0,18.4,554,Functional,Absent,22.7
Nashik,City Ring Road,Rain/Wet Road,Grievous Injury,2018,5,1,3,3,0,73.8,709,Non-Functional,Absent,25.8
Ahmedabad,Industrial Zone,Poor Road Condition,Grievous Injury,2021,10,14,2,0,0,22.9,48,Non-Functional,Absent,6.9
Bhopal,Urban Arterial,Drunk Driving,Fatal,2021,9,7,3,1,2,78.7,739,Absent,Absent,27.5
Rajkot,State Highway,Drunk Driving,Fatal,2019,4,17,2,5,0,34.9,169,Non-Functional,Absent,7.8
Raipur,City Ring Road,Brake Failure,Property Damage Only,2019,5,5,1,2,0,75.4,366,Functional,Present,4.0
Mysuru,Village Road,Tyre Burst,Grievous Injury,2023,4,10,3,3,0,69.4,296,Absent,Present,5.2
Rajkot,State Highway,Wrong-Side Driving,Minor Injury,2021,9,3,3,1,0,27.3,209,Absent,Absent,19.1
Nashik,State Highway,Signal Jumping,Grievous Injury,2021,7,10,4,4,0,69.2,796,Absent,Absent,23.9
Guwahati,Expressway,Drunk Driving,Property Damage Only,2022,11,4,4,6,0,58.7,959,Functional,Absent,11.4
Ranchi,Coastal Road,Signal Jumping,Fatal,2022,5,1,1,0,0,39.5,73,Functional,Absent,20.1
Agra,Industrial Zone,Drunk Driving,Minor Injury,2019,8,3,4,3,0,69.3,238,Absent,Absent,11.0
Guwahati,Urban Arterial,Overloaded Vehicle,Grievous Injury,2018,1,12,2,0,0,41.6,428,Non-Functional,Present,13.3
Patna,Village Road,Tyre Burst,Minor Injury,2020,10,3,3,5,0,56.3,37,Functional,Absent,10.5
Jaipur,Village Road,Tyre Burst,Minor Injury,2018,8,15,2,3,0,54.8,119,Functional,Present,19.7
Kanpur,State Highway,Overloaded Vehicle,Minor Injury,2024,8,12,2,5,0,65.3,377,Absent,Present,21.7
Visakhapatnam,City Ring Road,Driver Fatigue,Minor Injury,2024,1,1,1,6,0,30.1,562,Non-Functional,Absent,18.5
Mumbai,Urban Arterial,Poor Road Condition,Grievous Injury,2020,3,11,1,0,0,64.0,158,Non-Functional,Present,12.5
Kochi,City Ring Road,Tyre Burst,Minor Injury,2020,8,23,1,1,0,47.2,592,Functional,Present,29.2
Agra,Urban Arterial,Signal Jumping,Minor Injury,2019,9,12,4,3,0,15.7,213,Functional,Present,35.4
Mysuru,Industrial Zone,Animal on Road,Minor Injury,2018,4,11,4,6,0,79.5,25,Functional,Present,15.6
Varanasi,Industrial Zone,Driver Fatigue,Minor Injury,2022,7,0,3,1,0,87.6,739,Absent,Present,10.3
Nagpur,Urban Arterial,Animal on Road,Grievous Injury,2020,12,6,3,3,0,65.6,214,Functional,Present,6.9
Nagpur,Industrial Zone,Drunk Driving,Property Damage Only,2023,4,15,3,1,0,86.6,677,Functional,Absent,12.9
Varanasi,National Highway,Overloaded Vehicle,Property Damage Only,2024,3,0,3,3,0,72.5,710,Non-Functional,Absent,19.8
Surat,State Highway,Driver Fatigue,Grievous Injury,2020,11,0,2,3,0,47.8,272,Non-Functional,Present,13.8
Indore,Coastal Road,Pothole,Fatal,2019,12,23,4,0,3,106.0,230,Non-Functional,Present,12.7
Ahmedabad,State Highway,Mobile Phone Use,Grievous Injury,2020,1,23,4,3,0,65.9,370,Functional,Absent,23.6
Varanasi,Hill Road,Signal Jumping,Grievous Injury,2020,9,2,2,0,0,78.3,87,Non-Functional,Absent,27.0
Agra,Village Road,Driver Fatigue,Property Damage Only,2023,6,1,3,0,0,33.3,177,Non-Functional,Present,18.1
Bengaluru,Expressway,Pothole,Minor Injury,2023,7,5,4,5,0,68.9,848,Functional,Absent,20.6
Visakhapatnam,Expressway,Pedestrian Jaywalking,Fatal,2024,2,6,4,6,3,41.6,910,Non-Functional,Absent,14.4
Agra,Urban Arterial,Tyre Burst,Property Damage Only,2021,7,0,3,6,0,54.3,892,Absent,Absent,9.1
Allahabad,Hill Road,Fog/Low Visibility,Grievous Injury,2020,1,5,3,2,0,54.6,654,Absent,Present,22.9
Indore,Industrial Zone,Tyre Burst,Minor Injury,2020,7,21,4,6,0,66.3,194,Non-Functional,Present,22.2
Guwahati,National Highway,Brake Failure,Fatal,2018,11,23,3,6,1,37.5,433,Functional,Present,5.1
Nashik,Expressway,Drunk Driving,Fatal,2020,3,8,3,3,0,62.2,478,Non-Functional,Absent,12.4
Visakhapatnam,City Ring Road,Signal Jumping,Minor Injury,2024,3,22,1,6,0,63.1,374,Functional,Present,30.7
Chennai,Hill Road,Over-speeding,Minor Injury,2022,11,8,1,0,0,59.2,118,Absent,Present,16.3
Kanpur,City Ring Road,Rain/Wet Road,Minor Injury,2024,12,18,1,2,0,40.5,481,Absent,Absent,10.5
Delhi,City Ring Road,Pedestrian Jaywalking,Minor Injury,2018,9,4,1,2,0,80.9,867,Non-Functional,Absent,4.0
Hyderabad,Industrial Zone,Over-speeding,Minor Injury,2020,7,0,4,0,0,51.4,326,Functional,Present,27.6
Pune,Hill Road,Fog/Low Visibility,Property Damage Only,2019,6,6,2,4,0,34.9,930,Functional,Absent,17.5
Nagpur,Hill Road,Mobile Phone Use,Minor Injury,2022,11,0,1,4,0,49.7,858,Functional,Present,22.6
Indore,Village Road,Signal Jumping,Minor Injury,2023,12,6,1,0,0,84.1,547,Absent,Present,14.6
Nagpur,Coastal Road,Wrong-Side Driving,Minor Injury,2020,5,20,1,1,0,35.0,246,Functional,Present,12.9
Nashik,City Ring Road,Animal on Road,Property Damage Only,2022,9,3,2,3,0,94.2,904,Absent,Present,33.8
Meerut,Expressway,Pothole,Property Damage Only,2021,8,17,3,5,0,63.6,891,Functional,Present,23.0
Patna,Expressway,Pedestrian Jaywalking,Minor Injury,2021,1,15,3,3,0,42.5,884,Absent,Present,26.2
Jaipur,Hill Road,Fog/Low Visibility,Minor Injury,2019,11,15,3,2,0,50.1,931,Functional,Absent,11.3
Surat,Village Road,Poor Road Condition,Grievous Injury,2019,9,12,4,4,0,60.1,554,Non-Functional,Absent,15.6
Ahmedabad,National Highway,Animal on Road,Minor Injury,2018,10,1,4,4,0,59.4,988,Absent,Absent,17.8
Ranchi,Coastal Road,Driver Fatigue,Minor Injury,2021,2,18,2,2,0,62.1,91,Non-Functional,Absent,19.0
Agra,Expressway,Overloaded Vehicle,Grievous Injury,2018,11,6,2,3,0,92.6,272,Absent,Absent,24.0
Nashik,Village Road,Pothole,Property Damage Only,2022,3,19,1,0,0,48.4,440,Non-Functional,Absent,22.3
Agra,Expressway,Poor Road Condition,Fatal,2020,4,1,3,2,1,43.4,39,Functional,Absent,18.0
Faridabad,National Highway,Overloaded Vehicle,Fatal,2024,3,17,2,0,3,35.0,432,Absent,Present,9.8
Hyderabad,Hill Road,Drunk Driving,Fatal,2022,5,16,3,5,3,58.0,465,Functional,Absent,6.8
Pune,National Highway,Pothole,Minor Injury,2022,2,7,2,2,0,57.9,325,Absent,Absent,15.0
Kanpur,Expressway,Fog/Low Visibility,Property Damage Only,2024,9,15,4,2,0,56.0,56,Absent,Present,23.8
Rajkot,State Highway,Overloaded Vehicle,Property Damage Only,2023,12,5,4,6,0,75.2,125,Absent,Absent,21.3
Surat,Urban Arterial,Animal on Road,Grievous Injury,2018,3,5,1,4,0,37.7,628,Functional,Present,23.1
Visakhapatnam,Village Road,Over-speeding,Minor Injury,2020,6,14,2,5,0,84.4,529,Non-Functional,Present,20.6
Nagpur,Expressway,Driver Fatigue,Minor Injury,2018,11,15,1,5,0,17.4,173,Functional,Present,8.0
Mysuru,Coastal Road,Overloaded Vehicle,Grievous Injury,2019,10,13,1,3,0,61.8,728,Functional,Absent,15.6
Varanasi,Urban Arterial,Mobile Phone Use,Fatal,2018,2,14,2,3,3,100.8,687,Absent,Present,14.2
Pune,State Highway,Pothole,Minor Injury,2022,9,8,3,3,0,50.5,812,Functional,Absent,22.4
Ghaziabad,Coastal Road,Rain/Wet Road,Minor Injury,2021,8,9,1,0,0,10.0,73,Absent,Present,25.1
Amritsar,State Highway,Brake Failure,Minor Injury,2022,9,19,2,1,0,50.0,750,Functional,Absent,6.7
Kolkata,City Ring Road,Brake Failure,Minor Injury,2018,10,18,3,2,0,46.8,374,Functional,Absent,27.4
Jaipur,Urban Arterial,Poor Road Condition,Property Damage Only,2024,6,2,4,5,0,60.7,403,Non-Functional,Absent,4.0
Coimbatore,Village Road,Animal on Road,Minor Injury,2019,8,21,1,3,0,64.1,324,Functional,Present,15.5
Lucknow,National Highway,Mobile Phone Use,Minor Injury,2021,1,20,1,2,0,59.3,427,Functional,Absent,7.8
Patna,State Highway,Brake Failure,Fatal,2022,7,19,3,1,2,75.0,871,Functional,Absent,25.9
Nashik,Village Road,Mobile Phone Use,Minor Injury,2024,5,22,2,6,0,57.9,460,Functional,Absent,18.1
Jaipur,Industrial Zone,Animal on Road,Property Damage Only,2023,1,23,2,3,0,77.7,843,Functional,Absent,21.9
Visakhapatnam,City Ring Road,Mobile Phone Use,Grievous Injury,2018,4,3,4,2,0,49.9,114,Functional,Present,16.6
Nagpur,Coastal Road,Over-speeding,Minor Injury,2018,2,2,3,6,0,64.5,970,Non-Functional,Absent,32.8
Bengaluru,Industrial Zone,Poor Road Condition,Grievous Injury,2018,2,0,3,5,0,45.7,673,Non-Functional,Present,14.6
Jodhpur,Hill Road,Overloaded Vehicle,Property Damage Only,2019,6,21,2,6,0,71.2,718,Absent,Present,13.8
Guwahati,Urban Arterial,Tyre Burst,Fatal,2020,3,19,3,4,1,36.6,89,Functional,Present,9.6
Nagpur,Village Road,Animal on Road,Property Damage Only,2020,2,20,1,1,0,84.1,494,Non-Functional,Absent,11.2
Ranchi,Urban Arterial,Overloaded Vehicle,Fatal,2023,10,5,3,5,3,50.5,829,Non-Functional,Absent,6.1
Kolkata,Expressway,Driver Fatigue,Grievous Injury,2018,3,20,4,6,0,53.5,613,Functional,Absent,14.8
Ranchi,City Ring Road,Rain/Wet Road,Fatal,2020,3,21,1,6,2,51.6,693,Non-Functional,Absent,14.6
Amritsar,Coastal Road,Wrong-Side Driving,Minor Injury,2021,2,14,2,3,0,55.8,606,Functional,Absent,16.6
Ranchi,Industrial Zone,Pothole,Grievous Injury,2023,8,4,2,1,0,50.9,667,Functional,Absent,12.5
